DateListe,Saison,Equipe,TRJmoy,ROI,Nbrdematchs,MoyCoteResultat,ROI-10J,ROI-5J,ROI-3J,ROI-2J,ROIJJ-1,ROIJ,CoteJ,CoteInvJ,Last5Results
20200307,1920,Dijon,94.96679087746288,1.2242857142857142,28,5.117142857142857,0.6000000999999999,1.999999999497959e-07,3.3333333324965984e-07,5.000000000165983e-07,0.9150005,1.83,1.83,2.0,DNNND
20200229,1920,Dijon,94.94476988394854,1.201851851851852,27,5.238888888888888,0.6000000999999999,0.42000019999999993,3.3333333324965984e-07,5.000000000165983e-07,5.000000000165983e-07,0.0,19.0,0.9960474308300395,VDNNN
20200222,1920,Dijon,94.95636833638589,1.248076923076923,26,4.709615384615384,0.6000000999999999,0.42000019999999993,3.3333333324965984e-07,5.000000000165983e-07,5.000000000165983e-07,0.0,4.2,1.218867924528302,DVDNN
20200215,1920,Dijon,94.97579298627586,1.298,25,4.73,0.6000000999999999,1.2000001999999999,0.7000003333333334,5.000000000165983e-07,5.000000000165983e-07,0.0,4.75,1.1886792452830188,VDVDN
20200208,1920,Dijon,94.97164033105086,1.3520833333333333,24,4.729166666666667,0.9000001,1.2000001999999999,0.7000003333333334,1.0500005000000001,5.000000000165983e-07,0.0,2.55,1.5241013071895424,NVDVD
20200205,1920,Dijon,94.95326605407278,1.4108695652173913,23,4.82391304347826,0.9000001,1.2000001999999999,2.0000003333333334,1.0500005000000001,1.0500005000000001,0.0,3.1,1.3705516014234875,NNVDV
20200201,1920,Dijon,94.94942759319984,1.475,22,4.902272727272727,2.1900001000000002,0.7800001999999999,1.3000003333333332,1.9500004999999998,1.0500005000000001,2.1,2.1,1.7485714285714287,DNNVD
20200125,1920,Dijon,94.92739906306376,1.4452380952380952,21,5.035714285714286,2.1900001000000002,0.7800001999999999,1.3000003333333332,1.9500004999999998,1.9500004999999998,0.0,5.5,1.1308687615526802,NDNNV
20200112,1920,Dijon,94.98375145426226,1.5175,20,5.0125,1.8000000999999999,1.999999999497959e-07,3.3333333324965984e-07,5.000000000165983e-07,1.9500004999999998,3.9,3.9,1.259259259259259,DNDNN
20191221,1920,Dijon,94.97288379928767,1.3921052631578947,19,5.071052631578947,2.0700001,0.6000002,3.3333333324965984e-07,5.000000000165983e-07,5.000000000165983e-07,0.0,2.1,1.7517730496453903,VDNDN
