DateListe,Saison,Equipe,TRJmoy,ROI,Nbrdematchs,MoyCoteResultat,ROI-10J,ROI-5J,ROI-3J,ROI-2J,ROIJJ-1,ROIJ,CoteJ,CoteInvJ,Last5Results
20230603,2223,Marseille,94.91790271696783,1.065263157894737,38,2.031578947368421,0.8810001,0.5020002,0.3933336666666667,5.000000000165983e-07,5.000000000165983e-07,0.0,1.33,3.3157894736842106,VDVDD
20230527,2223,Marseille,94.91772000753723,1.094054054054054,37,2.0505405405405406,0.8810001,1.0420002,0.3933336666666667,0.5900005,5.000000000165983e-07,0.0,1.36,3.0,VVDVD
20230520,2223,Marseille,94.95493496187504,1.1244444444444444,36,2.0697222222222225,1.1310001,1.2820002,0.836667,0.5900005,0.5900005,0.0,2.75,1.44,VVVDV
20230514,2223,Marseille,94.96762625059142,1.1565714285714286,35,2.0502857142857143,1.0130001,1.0460002,1.3433336666666669,0.6650005,0.5900005,1.18,1.18,4.883720930232558,NVVVD
20230506,2223,Marseille,94.96557991060197,1.1558823529411764,34,2.0758823529411763,1.2040001,1.0460002,1.7433336666666666,2.0150005,0.6650005,0.0,3.0,1.3879310344827587,NNVVV
20230430,2223,Marseille,94.96781127182697,1.190909090909091,33,2.047878787878788,1.2410001,1.2600002,1.3000003333333334,1.9500005000000002,2.0150005,1.33,1.33,3.38135593220339,VNNVV
20230423,2223,Marseille,94.95260082861702,1.1865625,32,2.0703125,0.9710000999999999,0.7200002,0.40000033333333335,0.6000005,1.9500005000000002,2.7,2.7,1.4583333333333333,NVNNV
20230416,2223,Marseille,94.96109186316872,1.137741935483871,31,2.0500000000000003,1.0260001,0.9800002,0.8000003333333333,5.000000000165983e-07,0.6000005,1.2,1.2,4.55,VNVNN
20230409,2223,Marseille,94.96124420063666,1.1356666666666666,30,2.0783333333333336,1.0260001,0.9800002,0.8000003333333333,1.2000005,5.000000000165983e-07,0.0,1.65,2.282608695652174,DVNVN
20230331,2223,Marseille,94.93331661174112,1.1748275862068966,29,2.0931034482758624,1.1660001,1.3620002,1.6333336666666667,1.2000005,1.2000005,0.0,1.45,2.5987996306555865,VDVNV
20230319,2223,Marseille,94.99982689589316,1.2167857142857144,28,2.1160714285714284,1.0930001,1.2220001999999999,0.8333336666666666,1.2500005,1.2000005,2.4,2.4,1.5714285714285714,VVDVN
20230312,2223,Marseille,95.00115275214927,1.172962962962963,27,2.1055555555555556,1.2660001,1.2220001999999999,1.4700003333333334,1.2500005,1.2500005,0.0,1.4,2.980392156862745,DVVDV
20230305,2223,Marseille,94.99138371503578,1.218076923076923,26,2.1326923076923077,1.1660001,1.0720002,1.2033336666666665,0.9550004999999999,1.2500005,2.5,2.5,1.54,VDVVD
20230226,2223,Marseille,94.97915787551841,1.1668,25,2.1180000000000003,1.4560001,1.0720002,1.2033336666666665,1.8050004999999998,0.9550004999999999,0.0,2.75,1.44,NVDVV
20230219,2223,Marseille,94.99867529296493,1.2154166666666666,24,2.091666666666667,1.4850001,0.9700002,1.1500003333333333,0.8500005,1.8050004999999998,1.91,1.91,1.8874172185430464,VNVDV
20230211,2223,Marseille,95.00157104323536,1.1852173913043478,23,2.099565217391304,1.3150001,0.9640002,0.5833336666666666,0.8750005000000001,0.8500005,1.7,1.7,2.138888888888889,VVNVD
20230205,2223,Marseille,95.01446971386262,1.1618181818181819,22,2.1177272727272727,1.3150001,1.3100002,1.0500003333333332,0.8750005000000001,0.8750005000000001,0.0,1.7,2.1714285714285713,VVVNV
20230201,2223,Marseille,94.99846572378299,1.217142857142857,21,2.1376190476190473,1.1400001,1.2600002,1.0233336666666666,0.7000005,0.8750005000000001,1.75,1.75,2.060240963855422,VVVVN
20230128,2223,Marseille,95.01716371352944,1.1905,20,2.1569999999999996,1.1400001,1.8400002,1.6000003333333332,1.5350004999999998,0.7000005,0.0,2.1,1.7485714285714287,VVVVV
20230114,2223,Marseille,94.99638144971215,1.253157894736842,19,2.1599999999999997,1.1720001,2.0000002,1.6333336666666667,1.7000004999999998,1.5350004999999998,1.4,1.4,2.9999999999999996,VVVVV
20230111,2223,Marseille,94.97092789388807,1.245,18,2.202222222222222,1.0050001,1.6660002,2.0433336666666664,1.6150004999999998,1.7000004999999998,1.67,1.67,2.2222222222222223,NVVVV
20230102,2223,Marseille,94.9488150899434,1.22,17,2.2335294117647053,1.0270001,1.3200002,2.200000333333333,2.2000005,1.6150004999999998,1.73,1.73,2.1176470588235294,DNVVV
20221229,2223,Marseille,94.93219109803962,1.188125,16,2.2649999999999997,1.0430001,1.0200002,1.7000003333333333,2.5500005,2.2000005,1.5,1.5,2.5714285714285716,DDNVV
20221113,2223,Marseille,94.94521436422471,1.1673333333333333,15,2.316,0.8890001,0.44000019999999995,0.7333336666666668,1.1000005,2.5500005,2.9,2.9,1.4033898305084744,DDDNV
20221106,2223,Marseille,94.97182493280533,1.0435714285714286,14,2.274285714285714,0.9240001,0.3440001999999999,3.3333333324965984e-07,5.000000000165983e-07,1.1000005,2.2,2.2,1.671641791044776,VDDDN
20221029,2223,Marseille,94.97054724689397,0.9546153846153846,13,2.28,1.0840001,0.3440001999999999,3.3333333324965984e-07,5.000000000165983e-07,5.000000000165983e-07,0.0,2.37,1.5859375,NVDDD
20221022,2223,Marseille,94.96697375240014,1.0341666666666667,12,2.2724999999999995,1.0840001,0.7340002,0.5733336666666666,5.000000000165983e-07,5.000000000165983e-07,0.0,2.15,1.6985294117647058,VNVDD
20221016,2223,Marseille,94.97404535798707,1.1281818181818182,11,2.2836363636363632,1.2410001,1.0660002,0.5733336666666666,0.8600005000000001,5.000000000165983e-07,0.0,7.5,1.0903790087463558,VVNVD
20221008,2223,Marseille,94.95168067606986,1.241,10,1.7619999999999998,0.0,1.3380002,1.2233336666666665,0.8600005000000001,0.8600005000000001,0.0,1.33,3.2203389830508478,VVVNV
20220930,2223,Marseille,95.04342596153708,1.3788888888888888,9,1.8099999999999998,0.0,1.5040002,1.2033336666666665,0.9750005,0.8600005000000001,1.72,1.72,2.060240963855422,VVVVN
20220918,2223,Marseille,95.2062993877593,1.33625,8,1.82125,0.0,1.8240002,1.656667,1.8050004999999998,0.9750005,0.0,2.05,1.7999999999999998,VVVVV
