DateListe,Saison,Equipe,TRJmoy,ROI,Nbrdematchs,MoyCoteResultat,ROI-10J,ROI-5J,ROI-3J,ROI-2J,ROIJJ-1,ROIJ,CoteJ,CoteInvJ,Last5Results
20170520,1617,Dijon,95.13475769233158,0.5778947368421052,38,4.683157894736842,0.4200001,0.8400002000000001,0.666667,1.0000005,1.0000005,0.0,2.8,1.440677966101695,DVNDV
20170514,1617,Dijon,95.13505111971091,0.5935135135135136,37,4.734054054054054,0.22000009999999998,0.44000019999999995,0.7333336666666668,5.000000000165983e-07,1.0000005,2.0,2.0,1.8103448275862069,DDVND
20170506,1617,Dijon,95.13817408319207,0.5544444444444444,36,4.81,0.22000009999999998,0.44000019999999995,0.7333336666666668,1.1000005,5.000000000165983e-07,0.0,3.4,1.3171171171171172,NDDVN
20170430,1617,Dijon,95.14397720170999,0.5702857142857143,35,4.850285714285714,0.45800009999999997,0.44000019999999995,0.7333336666666668,1.1000005,1.1000005,0.0,3.4,1.3357142857142856,DNDDV
20170422,1617,Dijon,95.1218166518357,0.5870588235294117,34,4.892941176470588,0.23800009999999996,1.999999999497959e-07,3.3333333324965984e-07,5.000000000165983e-07,1.1000005,2.2,2.2,1.6746268656716417,NDNDD
20170415,1617,Dijon,95.12294001211217,0.5381818181818182,33,4.974545454545455,0.23800009999999996,1.999999999497959e-07,3.3333333324965984e-07,5.000000000165983e-07,5.000000000165983e-07,0.0,11.0,1.02720207253886,DNDND
20170408,1617,Dijon,95.1596810528111,0.555,32,4.78625,0.5980000999999999,1.999999999497959e-07,3.3333333324965984e-07,5.000000000165983e-07,5.000000000165983e-07,0.0,1.95,1.848,DDNDN
20170401,1617,Dijon,95.1686541000735,0.5729032258064516,31,4.87774193548387,0.5980000999999999,1.999999999497959e-07,3.3333333324965984e-07,5.000000000165983e-07,5.000000000165983e-07,0.0,8.0,1.08130081300813,DDDND
20170319,1617,Dijon,95.16577097950595,0.592,30,4.773666666666666,0.5980000999999999,0.47600019999999993,3.3333333324965984e-07,5.000000000165983e-07,5.000000000165983e-07,0.0,3.0,1.3991150442477873,VDDDN
20170311,1617,Dijon,95.15723212684412,0.6124137931034482,29,4.834827586206896,0.8480000999999999,0.47600019999999993,3.3333333324965984e-07,5.000000000165983e-07,5.000000000165983e-07,0.0,4.75,1.1886792452830188,DVDDD
20170304,1617,Dijon,95.16015267738585,0.6342857142857142,28,4.837857142857142,0.8480000999999999,0.47600019999999993,0.7933336666666667,5.000000000165983e-07,5.000000000165983e-07,0.0,3.25,1.3357142857142856,DDVDD
20170224,1617,Dijon,95.17848762713095,0.6577777777777778,27,4.896666666666666,0.8480000999999999,1.1960001999999998,0.7933336666666667,1.1900005,5.000000000165983e-07,0.0,5.25,1.1684803001876172,VDDVD
20170219,1617,Dijon,95.16320177918274,0.683076923076923,26,4.883076923076922,0.8480000999999999,1.1960001999999998,0.7933336666666667,1.1900005,1.1900005,0.0,9.5,1.0572831423895255,NVDDV
20170211,1617,Dijon,95.16413338495977,0.7104,25,4.6983999999999995,0.6100000999999999,0.7200002,1.2000003333333333,5.000000000165983e-07,1.1900005,2.38,2.38,1.5984375,NNVDD
20170208,1617,Dijon,95.14503493146019,0.6408333333333334,24,4.795,0.6100000999999999,1.2200001999999999,1.2000003333333333,1.8000005,5.000000000165983e-07,0.0,3.0,1.4035087719298245,VNNVD
20170204,1617,Dijon,95.12449167280722,0.668695652173913,23,4.873043478260869,0.6100000999999999,1.2200001999999999,1.2000003333333333,1.8000005,1.8000005,0.0,11.0,1.0514705882352942,DVNNV
20170128,1617,Dijon,95.08591609600681,0.6990909090909091,22,4.594545454545455,0.25000009999999995,0.5000002,0.8333336666666666,5.000000000165983e-07,1.8000005,3.6,3.6,1.2927927927927927,DDVNN
20170121,1617,Dijon,95.08426429389559,0.560952380952381,21,4.641904761904762,0.25000009999999995,0.5000002,0.8333336666666666,1.2500005,5.000000000165983e-07,0.0,3.0,1.3991150442477873,NDDVN
20170114,1617,Dijon,95.06780762325543,0.589,20,4.724,0.46500009999999997,0.5000002,0.8333336666666666,1.2500005,1.2500005,0.0,4.75,1.1886792452830188,NNDDV
20161221,1617,Dijon,95.06740503965435,0.62,19,4.722631578947369,0.21500009999999997,1.999999999497959e-07,3.3333333324965984e-07,5.000000000165983e-07,1.2500005,2.5,2.5,1.5483870967741937,DNNDD
20161218,1617,Dijon,95.03684254849748,0.5155555555555555,18,4.846111111111111,0.21500009999999997,1.999999999497959e-07,3.3333333324965984e-07,5.000000000165983e-07,5.000000000165983e-07,0.0,5.75,1.1214659685863875,DDNND
20161210,1617,Dijon,95.10703475762479,0.5458823529411765,17,4.792941176470588,0.4950001,1.999999999497959e-07,3.3333333324965984e-07,5.000000000165983e-07,5.000000000165983e-07,0.0,3.2,1.3468468468468466,NDDNN
20161202,1617,Dijon,95.12691295781467,0.58,16,4.8925,0.4950001,1.999999999497959e-07,3.3333333324965984e-07,5.000000000165983e-07,5.000000000165983e-07,0.0,3.6,1.2833333333333332,NNDDN
20161129,1617,Dijon,95.16153991950743,0.6186666666666667,15,4.978666666666666,0.4950001,0.43000019999999994,3.3333333324965984e-07,5.000000000165983e-07,5.000000000165983e-07,0.0,5.5,1.1530249110320285,VNNDD
20161126,1617,Dijon,95.15024961574092,0.6628571428571428,14,4.941428571428571,0.4950001,0.43000019999999994,3.3333333324965984e-07,5.000000000165983e-07,5.000000000165983e-07,0.0,5.25,1.1684803001876172,NVNND
20161119,1617,Dijon,95.1175057651222,0.7138461538461538,13,4.917692307692307,0.9280001,0.43000019999999994,0.7166669999999999,5.000000000165983e-07,5.000000000165983e-07,0.0,4.0,1.251923076923077,NNVNN
20161105,1617,Dijon,95.09815718232436,0.7733333333333333,12,4.994166666666666,0.9280001,0.9900002,0.7166669999999999,1.0750004999999998,5.000000000165983e-07,0.0,2.5,1.5483870967741937,VNNVN
20161029,1617,Dijon,95.05094148249219,0.8436363636363636,11,5.22090909090909,0.9280001,0.9900002,0.7166669999999999,1.0750004999999998,1.0750004999999998,0.0,3.4,1.3203703703703702,DVNNV
20161022,1617,Dijon,95.04563939692424,0.928,10,5.403,0.0,0.5600002,0.9333336666666666,5.000000000165983e-07,1.0750004999999998,2.15,2.15,1.7217391304347824,NDVNN
20161016,1617,Dijon,94.98302062881157,0.7922222222222223,9,5.764444444444444,0.0,0.5600002,0.9333336666666666,1.4000005,5.000000000165983e-07,0.0,5.0,1.1684803001876172,DNDVN
20161001,1617,Dijon,95.01667441034508,0.89125,8,5.859999999999999,0.0,1.4260002,0.9333336666666666,1.4000005,1.4000005,0.0,2.6,1.5,VDNDV
20160924,1617,Dijon,95.00163486617835,1.0185714285714285,7,6.325714285714285,0.0,0.8660002,3.3333333324965984e-07,5.000000000165983e-07,1.4000005,2.8,2.8,1.4344827586206896,DVDND
20160920,1617,Dijon,95.02633731130145,0.7216666666666667,6,6.913333333333333,0.0,0.8660002,1.4433336666666665,5.000000000165983e-07,5.000000000165983e-07,0.0,23.0,0.9881305637982196,DDVDN
20160917,1617,Dijon,95.08306444699072,0.866,5,3.6959999999999993,0.0,0.0,1.4433336666666665,2.1650004999999997,5.000000000165983e-07,0.0,2.15,1.697080291970803,
20160910,1617,Dijon,95.142844883755,1.0825,4,4.0825,0.0,0.0,1.4433336666666665,2.1650004999999997,2.1650004999999997,0.0,3.5,1.3037383177570094,
20160827,1617,Dijon,95.1937023871597,1.4433333333333334,3,4.276666666666666,0.0,0.0,0.0,5.000000000165983e-07,2.1650004999999997,4.33,4.33,1.2132596685082873,
20160820,1617,Dijon,95.40494764849393,0.0,2,4.25,0.0,0.0,0.0,0.0,5.000000000165983e-07,0.0,6.0,1.1305609284332687,
20160813,1617,Dijon,95.67901234567901,0.0,1,2.5,0.0,0.0,0.0,0.0,0.0,0.0,2.5,1.55,
20170520,1617,Angers,95.23619952024,1.0105263157894737,38,3.878421052631579,1.0750001,1.0500002,1.7500003333333332,2.6250005,3.6750005,2.1,2.1,1.75,DDDNV
20170514,1617,Angers,95.2302982787723,0.981081081081081,37,3.9264864864864863,0.7350000999999999,1.999999999497959e-07,3.3333333324965984e-07,5.000000000165983e-07,2.6250005,5.25,5.25,1.1684803001876172,DDDDN
20170506,1617,Angers,95.2206976844664,0.8625,36,3.8897222222222223,0.9400001,1.999999999497959e-07,3.3333333324965984e-07,5.000000000165983e-07,5.000000000165983e-07,0.0,3.25,1.3539823008849556,DDDDD
20170428,1617,Angers,95.21045908875519,0.8871428571428571,35,3.908,1.4150000999999999,0.44000019999999995,3.3333333324965984e-07,5.000000000165983e-07,5.000000000165983e-07,0.0,3.3,1.3357142857142856,VDDDD
20170422,1617,Angers,95.21415653952117,0.913235294117647,34,3.9258823529411764,1.4150000999999999,0.44000019999999995,3.3333333324965984e-07,5.000000000165983e-07,5.000000000165983e-07,0.0,3.4,1.32,DVDDD
20170414,1617,Angers,95.21807807821236,0.9409090909090909,33,3.9418181818181814,1.4150000999999999,1.1000002,0.7333336666666668,5.000000000165983e-07,5.000000000165983e-07,0.0,11.0,1.0514705882352942,VDVDD
20170408,1617,Angers,95.19448194433099,0.9703125,32,3.72125,1.6150001,1.4700001999999999,0.7333336666666668,1.1000005,5.000000000165983e-07,0.0,4.8,1.1887884267631101,VVDVD
20170402,1617,Angers,95.19168729707002,1.0016129032258065,31,3.6864516129032254,1.6150001,1.8800002,1.8333336666666666,1.1000005,1.1000005,0.0,3.6,1.301834862385321,VVVDV
20170318,1617,Angers,95.1777699299744,1.035,30,3.689333333333333,1.3950001,2.3900002,1.716667,1.6500005,1.1000005,2.2,2.2,1.6656716417910447,VVVVD
20170310,1617,Angers,95.19095624496089,0.9948275862068966,29,3.7406896551724134,1.3950001,2.3900002,2.4000003333333333,2.5750005,1.6500005,0.0,5.5,1.1554428044280443,NVVVV
20170304,1617,Angers,95.18046226868924,1.0303571428571427,28,3.6778571428571425,1.0650001,1.7300001999999999,2.8833336666666667,1.9500004999999998,2.5750005,3.3,3.3,1.3463503649635036,DNVVV
20170225,1617,Angers,95.16409063904996,0.9462962962962963,27,3.6918518518518515,0.8800001,1.7600002,2.266667,3.4000005,1.9500004999999998,1.85,1.85,1.9512195121951221,VDNVV
20170218,1617,Angers,95.17182083477464,0.9115384615384615,26,3.7626923076923076,0.6750001,1.3500002,1.5833336666666666,2.3750005,3.4000005,2.05,2.05,1.7835616438356166,DVDNV
20170211,1617,Angers,95.16364989471555,0.866,25,3.8312,0.2000001,0.4000002,0.666667,5.000000000165983e-07,2.3750005,4.75,4.75,1.1960861056751468,NDVDN
20170208,1617,Angers,95.14760542059496,0.7041666666666667,24,3.7929166666666667,0.2000001,0.4000002,0.666667,1.0000005,5.000000000165983e-07,0.0,2.5,1.5483870967741937,DNDVD
20170205,1617,Angers,95.12717392233917,0.7347826086956522,23,3.8491304347826087,0.2000001,0.4000002,0.666667,1.0000005,1.0000005,0.0,3.8,1.2679245283018867,DDNDV
20170128,1617,Angers,95.12973922991723,0.7681818181818182,22,3.8513636363636365,0.24000009999999997,1.999999999497959e-07,3.3333333324965984e-07,5.000000000165983e-07,1.0000005,2.0,2.0,1.816216216216216,DDDND
20170122,1617,Angers,95.12714890861152,0.7095238095238096,21,3.9395238095238096,0.24000009999999997,1.999999999497959e-07,3.3333333324965984e-07,5.000000000165983e-07,5.000000000165983e-07,0.0,4.75,1.1980952380952383,NDDDN
20170114,1617,Angers,95.09966198609717,0.745,20,3.899,0.24000009999999997,1.999999999497959e-07,3.3333333324965984e-07,5.000000000165983e-07,5.000000000165983e-07,0.0,2.8,1.434782608695652,DNDDD
20161221,1617,Angers,95.11193210251663,0.7842105263157895,19,3.956842105263158,0.5650001,1.999999999497959e-07,3.3333333324965984e-07,5.000000000165983e-07,5.000000000165983e-07,0.0,7.5,1.090909090909091,DDNDD
20161216,1617,Angers,95.10492303942894,0.8277777777777777,18,3.7600000000000002,0.5650001,1.999999999497959e-07,3.3333333324965984e-07,5.000000000165983e-07,5.000000000165983e-07,0.0,2.4,1.5483870967741937,NDDND
20161210,1617,Angers,95.16299809711161,0.8764705882352941,17,3.84,0.5650001,0.48000019999999993,3.3333333324965984e-07,5.000000000165983e-07,5.000000000165983e-07,0.0,3.25,1.3425925925925926,VNDDN
20161203,1617,Angers,95.1725554378585,0.93125,16,3.8768749999999996,0.7900001,0.48000019999999993,3.3333333324965984e-07,5.000000000165983e-07,5.000000000165983e-07,0.0,2.0,1.808219178082192,DVNDD
20161130,1617,Angers,95.1864572152505,0.9933333333333333,15,4.002,1.2650001,0.48000019999999993,0.8000003333333333,5.000000000165983e-07,5.000000000165983e-07,0.0,15.0,1.024390243902439,NDVND
