DateListe,Saison,Equipe,TRJmoy,ROI,Nbrdematchs,MoyCoteResultat,ROI-10J,ROI-5J,ROI-3J,ROI-2J,ROIJJ-1,ROIJ,CoteJ,CoteInvJ,Last5Results
20160514,1516,Ajaccio GFCO,95.06071138370832,0.7436842105263158,38,4.749473684210526,0.4360001,0.38200019999999996,0.6366669999999999,5.000000000165983e-07,5.000000000165983e-07,0.0,2.2,1.6656716417910447,NDVDD
20160507,1516,Ajaccio GFCO,95.06788285906892,0.7637837837837838,37,4.8183783783783785,0.4360001,0.38200019999999996,0.6366669999999999,0.9550004999999999,5.000000000165983e-07,0.0,7.5,1.0862456747404845,DNDVD
20160430,1516,Ajaccio GFCO,95.07303302730294,0.785,36,4.743888888888889,0.4360001,0.38200019999999996,0.6366669999999999,0.9550004999999999,0.9550004999999999,0.0,11.0,1.0419847328244276,DDNDV
20160424,1516,Ajaccio GFCO,95.06991253104883,0.8074285714285714,35,4.565142857142857,0.24500009999999997,0.49000020000000005,3.3333333324965984e-07,5.000000000165983e-07,0.9550004999999999,1.91,1.91,1.9119496855345912,VDDND
20160416,1516,Ajaccio GFCO,95.05583003862057,0.775,34,4.643235294117647,0.24500009999999997,0.49000020000000005,3.3333333324965984e-07,5.000000000165983e-07,5.000000000165983e-07,0.0,3.2,1.3648745519713261,NVDDN
20160409,1516,Ajaccio GFCO,95.0369645258576,0.7984848484848485,33,4.6869696969696975,0.24500009999999997,0.49000020000000005,0.8166670000000001,5.000000000165983e-07,5.000000000165983e-07,0.0,3.5,1.285981308411215,NNVDD
20160402,1516,Ajaccio GFCO,95.06799054211977,0.8234375,32,4.7240625000000005,0.24500009999999997,0.49000020000000005,0.8166670000000001,1.2250005000000002,5.000000000165983e-07,0.0,3.3,1.3333333333333333,NNNVD
20160320,1516,Ajaccio GFCO,95.07134414744692,0.85,31,4.77,0.24500009999999997,0.49000020000000005,0.8166670000000001,1.2250005000000002,1.2250005000000002,0.0,4.75,1.1886792452830188,DNNNV
20160312,1516,Ajaccio GFCO,95.07120706197263,0.8783333333333333,30,4.770666666666666,9.999999997489795e-08,1.999999999497959e-07,3.3333333324965984e-07,5.000000000165983e-07,1.2250005000000002,2.45,2.45,1.5746031746031748,NDNNN
20160309,1516,Ajaccio GFCO,95.04418451327626,0.8241379310344827,29,4.850689655172413,0.32500009999999996,1.999999999497959e-07,3.3333333324965984e-07,5.000000000165983e-07,5.000000000165983e-07,0.0,3.6,1.2939814814814816,DNDNN
20160305,1516,Ajaccio GFCO,95.03915753410766,0.8535714285714285,28,4.895357142857143,0.32500009999999996,1.999999999497959e-07,3.3333333324965984e-07,5.000000000165983e-07,5.000000000165983e-07,0.0,5.5,1.1554428044280443,DDNDN
20160220,1516,Ajaccio GFCO,95.02265271757214,0.8851851851851852,27,4.872962962962963,0.32500009999999996,1.999999999497959e-07,3.3333333324965984e-07,5.000000000165983e-07,5.000000000165983e-07,0.0,4.75,1.1647058823529413,DDDND
20160213,1516,Ajaccio GFCO,95.07984880476637,0.9192307692307692,26,4.877692307692308,0.7750001,1.999999999497959e-07,3.3333333324965984e-07,5.000000000165983e-07,5.000000000165983e-07,0.0,1.67,2.213903743315508,NDDDN
20160206,1516,Ajaccio GFCO,95.07530755476506,0.956,25,5.005999999999999,0.7750001,1.999999999497959e-07,3.3333333324965984e-07,5.000000000165983e-07,5.000000000165983e-07,0.0,2.6,1.4983333333333335,NNDDD
