Div;DateInt;DateStr;HomeTeam;AwayTeam;FTHG;FTAG;FTR;B365H;B365D;B365A
F1;20170804;2017-08-04;Monaco;Toulouse;3;2;H;1.3;5.5;10
F1;20170805;2017-08-05;Lyon;Strasbourg;4;0;H;1.36;5;8.5
F1;20170805;2017-08-05;Metz;Guingamp;1;3;A;2.8;3.2;2.63
F1;20170805;2017-08-05;Montpellier;Caen;1;0;H;1.91;3.5;4.2
F1;20170805;2017-08-05;Paris SG;Amiens;2;0;H;1.11;9;25
F1;20170805;2017-08-05;St Etienne;Nice;1;0;H;2.2;3.2;3.5
F1;20170805;2017-08-05;Troyes;Rennes;1;1;D;2.6;3.1;2.9
F1;20170806;2017-08-06;Angers;Bordeaux;2;2;D;2.5;3.1;3.1
F1;20170806;2017-08-06;Lille;Nantes;3;0;H;2;3.2;4.1
F1;20170806;2017-08-06;Marseille;Dijon;3;0;H;1.4;4.75;8
F1;20170811;2017-08-11;Nice;Troyes;1;2;A;1.53;4;7
F1;20170811;2017-08-11;Rennes;Lyon;1;2;A;3.6;3.5;2
F1;20170812;2017-08-12;Amiens;Angers;0;2;A;2.9;3.1;2.63
F1;20170812;2017-08-12;Bordeaux;Metz;2;0;H;1.44;4.2;8.5
F1;20170812;2017-08-12;Caen;St Etienne;0;1;A;3;3.1;2.5
F1;20170812;2017-08-12;Nantes;Marseille;0;1;A;3.5;3.4;2.15
F1;20170812;2017-08-12;Toulouse;Montpellier;1;0;H;2.2;3.2;3.5
F1;20170813;2017-08-13;Dijon;Monaco;1;4;A;7;4.2;1.5
F1;20170813;2017-08-13;Guingamp;Paris SG;0;3;A;15;6;1.22
F1;20170813;2017-08-13;Strasbourg;Lille;3;0;H;3.75;3.3;2.1
F1;20170818;2017-08-18;Metz;Monaco;0;1;A;10;5;1.3
F1;20170819;2017-08-19;Lyon;Bordeaux;3;3;D;1.57;4.33;5.5
F1;20170819;2017-08-19;Montpellier;Strasbourg;1;1;D;1.85;3.5;4.5
F1;20170819;2017-08-19;Nice;Guingamp;2;0;H;2;3.3;4
F1;20170819;2017-08-19;Rennes;Dijon;2;2;D;1.6;3.9;6
F1;20170819;2017-08-19;St Etienne;Amiens;3;0;H;1.53;4;7
F1;20170819;2017-08-19;Troyes;Nantes;0;1;A;2.5;3.1;3.1
F1;20170820;2017-08-20;Lille;Caen;0;2;A;1.6;3.8;6
F1;20170820;2017-08-20;Marseille;Angers;1;1;D;1.6;3.9;5.75
F1;20170820;2017-08-20;Paris SG;Toulouse;6;2;H;1.08;11;34
F1;20170825;2017-08-25;Paris SG;St Etienne;3;0;H;1.08;11;29
F1;20170826;2017-08-26;Amiens;Nice;3;0;H;3.3;3.2;2.3
F1;20170826;2017-08-26;Bordeaux;Troyes;2;1;H;1.44;4.5;7.5
F1;20170826;2017-08-26;Caen;Metz;1;0;H;1.85;3.4;4.75
F1;20170826;2017-08-26;Dijon;Montpellier;2;1;H;2.55;3.2;2.88
F1;20170826;2017-08-26;Nantes;Lyon;0;0;D;3.6;3.4;2.1
F1;20170826;2017-08-26;Toulouse;Rennes;3;2;H;2.3;3.1;3.4
F1;20170827;2017-08-27;Angers;Lille;1;1;D;2.25;3.1;3.5
F1;20170827;2017-08-27;Guingamp;Strasbourg;2;0;H;1.91;3.4;4.33
F1;20170827;2017-08-27;Monaco;Marseille;6;1;H;1.62;4;5.5
F1;20170908;2017-09-08;Lille;Bordeaux;0;0;D;3;3.3;2.45
F1;20170908;2017-09-08;Metz;Paris SG;1;5;A;19;10;1.13
F1;20170909;2017-09-09;Caen;Dijon;2;1;H;2.05;3.2;4
F1;20170909;2017-09-09;Montpellier;Nantes;0;1;A;2.15;3.2;3.8
F1;20170909;2017-09-09;Nice;Monaco;4;0;H;4.75;3.6;1.8
F1;20170909;2017-09-09;Strasbourg;Amiens;0;1;A;2;3.2;4.2
F1;20170909;2017-09-09;Troyes;Toulouse;0;0;D;2.88;3.2;2.6
F1;20170910;2017-09-10;Lyon;Guingamp;2;1;H;1.4;4.75;8.5
F1;20170910;2017-09-10;Marseille;Rennes;1;3;A;1.67;4;5
F1;20170910;2017-09-10;St Etienne;Angers;1;1;D;2.15;3.2;3.75
F1;20170915;2017-09-15;Toulouse;Bordeaux;0;1;A;2.9;3.1;2.5
F1;20170916;2017-09-16;Dijon;St Etienne;0;1;A;3;3.2;2.5
F1;20170916;2017-09-16;Guingamp;Lille;1;0;H;2.15;3.3;3.5
F1;20170916;2017-09-16;Monaco;Strasbourg;3;0;H;1.18;7.5;15
F1;20170916;2017-09-16;Nantes;Caen;1;0;H;1.95;3.25;4.33
F1;20170916;2017-09-16;Troyes;Montpellier;0;1;A;2.8;3.2;2.7
F1;20170917;2017-09-17;Amiens;Marseille;0;2;A;4;3.2;2.05
F1;20170917;2017-09-17;Angers;Metz;0;1;A;1.5;4;7.5
F1;20170917;2017-09-17;Paris SG;Lyon;2;0;H;1.17;7.5;17
F1;20170917;2017-09-17;Rennes;Nice;0;1;A;2.3;3.2;3.3
F1;20170922;2017-09-22;Lille;Monaco;0;4;A;4.75;3.8;1.7
F1;20170922;2017-09-22;Nice;Angers;2;2;D;1.8;3.5;4.5
F1;20170923;2017-09-23;Bordeaux;Guingamp;3;1;H;1.73;3.5;5.5
F1;20170923;2017-09-23;Caen;Amiens;1;0;H;1.85;3.3;4.75
F1;20170923;2017-09-23;Lyon;Dijon;3;3;D;1.29;5.75;10
F1;20170923;2017-09-23;Metz;Troyes;0;1;A;2;3.3;4
F1;20170923;2017-09-23;Montpellier;Paris SG;0;0;D;17;7.5;1.17
F1;20170924;2017-09-24;Marseille;Toulouse;2;0;H;1.53;4.2;6.5
F1;20170924;2017-09-24;St Etienne;Rennes;2;2;D;2.05;3.2;4
F1;20170924;2017-09-24;Strasbourg;Nantes;1;2;A;2.55;3;3.1
F1;20170929;2017-09-29;Monaco;Montpellier;1;1;D;1.36;5;8.5
F1;20170930;2017-09-30;Dijon;Strasbourg;1;1;D;2.05;3.2;4
F1;20170930;2017-09-30;Guingamp;Toulouse;1;1;D;1.91;3.4;4.33
F1;20170930;2017-09-30;Nantes;Metz;1;0;H;1.67;3.5;6
F1;20170930;2017-09-30;Paris SG;Bordeaux;6;2;H;1.14;9;15
F1;20170930;2017-09-30;Rennes;Caen;0;1;A;1.91;3.25;4.5
