Div;DateInt;DateStr;HomeTeam;AwayTeam;FTHG;FTAG;FTR;B365H;B365D;B365A
F1;20220805;2022-08-05;Lyon;Ajaccio;2;1;H;1.33;5.25;8.5
F1;20220806;2022-08-06;Strasbourg;Monaco;1;2;A;2.62;3.25;2.75
F1;20220806;2022-08-06;Clermont;Paris SG;0;5;A;9.5;6.5;1.25
F1;20220807;2022-08-07;Toulouse;Nice;1;1;D;2.87;3.3;2.5
F1;20220807;2022-08-07;Angers;Nantes;0;0;D;2.7;3.25;2.7
F1;20220807;2022-08-07;Lens;Brest;3;2;H;1.57;4.33;5.25
F1;20220807;2022-08-07;Lille;Auxerre;4;1;H;1.7;4;4.5
F1;20220807;2022-08-07;Montpellier;Troyes;3;2;H;2.2;3.5;3.3
F1;20220807;2022-08-07;Rennes;Lorient;0;1;A;1.36;5.25;8.5
F1;20220807;2022-08-07;Marseille;Reims;4;1;H;1.57;4.2;5.5
F1;20220812;2022-08-12;Nantes;Lille;1;1;D;3;3.4;2.4
F1;20220813;2022-08-13;Monaco;Rennes;1;1;D;2.15;3.5;3.25
F1;20220813;2022-08-13;Paris SG;Montpellier;5;2;H;1.08;12;21
F1;20220814;2022-08-14;Ajaccio;Lens;0;0;D;3.2;3.25;2.3
F1;20220814;2022-08-14;Auxerre;Angers;2;2;D;2.2;3.25;3.5
F1;20220814;2022-08-14;Reims;Clermont;2;4;A;2.15;3.2;3.6
F1;20220814;2022-08-14;Troyes;Toulouse;0;3;A;2.7;3.2;2.7
F1;20220814;2022-08-14;Nice;Strasbourg;1;1;D;2.15;3.3;3.5
F1;20220814;2022-08-14;Brest;Marseille;1;1;D;4.2;3.8;1.83
F1;20220819;2022-08-19;Lyon;Troyes;4;1;H;1.28;5.75;9
F1;20220820;2022-08-20;Monaco;Lens;1;4;A;1.75;3.8;4.33
F1;20220820;2022-08-20;Marseille;Nantes;2;1;H;1.6;4.2;5.5
F1;20220821;2022-08-21;Strasbourg;Reims;1;1;D;1.75;3.5;4.75
F1;20220821;2022-08-21;Angers;Brest;1;3;A;2.3;3.25;3.2
F1;20220821;2022-08-21;Clermont;Nice;1;0;H;3.75;3.4;2.05
F1;20220821;2022-08-21;Montpellier;Auxerre;1;2;A;2.1;3.4;3.5
F1;20220821;2022-08-21;Toulouse;Lorient;2;2;D;2.05;3.5;3.6
F1;20220821;2022-08-21;Rennes;Ajaccio;2;1;H;1.4;4.75;8
F1;20220821;2022-08-21;Lille;Paris SG;1;7;A;6;4.75;1.5
F1;20220826;2022-08-26;Ajaccio;Lille;1;3;A;3.4;3.2;2.2
F1;20220827;2022-08-27;Auxerre;Strasbourg;1;0;H;3.5;3.6;2.05
F1;20220827;2022-08-27;Lens;Rennes;2;1;H;2.55;3.5;2.7
F1;20220828;2022-08-28;Nantes;Toulouse;3;1;H;2.37;3.3;3
F1;20220828;2022-08-28;Brest;Montpellier;0;7;A;1.9;3.6;4
F1;20220828;2022-08-28;Lorient;Clermont;2;1;H;2.05;3.4;3.8
F1;20220828;2022-08-28;Nice;Marseille;0;3;A;2.7;3.5;2.55
F1;20220828;2022-08-28;Troyes;Angers;3;1;H;2.45;3.3;2.9
F1;20220828;2022-08-28;Reims;Lyon;1;1;D;4.2;4;1.75
F1;20220828;2022-08-28;Paris SG;Monaco;1;1;D;1.18;8;13
F1;20220831;2022-08-31;Angers;Reims;2;4;A;2.45;3.3;2.87
F1;20220831;2022-08-31;Lyon;Auxerre;2;1;H;1.28;6;8.5
F1;20220831;2022-08-31;Monaco;Troyes;2;4;A;1.36;5.25;8
F1;20220831;2022-08-31;Montpellier;Ajaccio;2;0;H;2.1;3.3;3.6
F1;20220831;2022-08-31;Strasbourg;Nantes;1;1;D;1.85;3.6;4.2
F1;20220831;2022-08-31;Lens;Lorient;5;2;H;1.53;4;6.5
F1;20220831;2022-08-31;Lille;Nice;1;2;A;2;3.5;3.75
F1;20220831;2022-08-31;Marseille;Clermont;1;0;H;1.36;5;8.5
F1;20220831;2022-08-31;Rennes;Brest;3;1;H;1.45;4.75;6.5
F1;20220831;2022-08-31;Toulouse;Paris SG;0;3;A;13;7;1.2
F1;20220903;2022-09-03;Auxerre;Marseille;0;2;A;4.75;4;1.66
F1;20220903;2022-09-03;Lyon;Angers;5;0;H;1.28;5.75;10
F1;20220903;2022-09-03;Nantes;Paris SG;0;3;A;9.5;6.5;1.28
F1;20220904;2022-09-04;Montpellier;Lille;1;3;A;3.25;3.75;2.1
F1;20220904;2022-09-04;Ajaccio;Lorient;0;1;A;2.45;3.2;2.9
F1;20220904;2022-09-04;Brest;Strasbourg;1;1;D;2.8;3.4;2.45
F1;20220904;2022-09-04;Clermont;Toulouse;2;0;H;2.8;3.5;2.4
F1;20220904;2022-09-04;Reims;Lens;1;1;D;3.2;3.5;2.25
F1;20220904;2022-09-04;Troyes;Rennes;1;1;D;4.33;4;1.75
F1;20220904;2022-09-04;Nice;Monaco;0;1;A;2.7;3.6;2.37
F1;20220907;2022-09-07;Lorient;Lyon;3;1;H;4.5;4.5;1.65
F1;20220909;2022-09-09;Lens;Troyes;1;0;H;1.5;4.5;6
F1;20220910;2022-09-10;Paris SG;Brest;1;0;H;1.07;13;23
F1;20220910;2022-09-10;Marseille;Lille;2;1;H;1.95;3.75;3.75
F1;20220911;2022-09-11;Strasbourg;Clermont;0;0;D;1.66;3.75;5.5
F1;20220911;2022-09-11;Ajaccio;Nice;0;1;A;3.3;3;2.4
F1;20220911;2022-09-11;Angers;Montpellier;2;1;H;2.4;3.6;2.75
F1;20220911;2022-09-11;Lorient;Nantes;3;2;H;2.1;3.25;3.75
F1;20220911;2022-09-11;Toulouse;Reims;1;0;H;2.2;3.5;3.2
