Div;DateInt;DateStr;HomeTeam;AwayTeam;FTHG;FTAG;FTR;B365H;B365D;B365A
F1;20190809;2019-08-09;Monaco;Lyon;0;3;A;3;3.3;2.37
F1;20190810;2019-08-10;Marseille;Reims;0;2;A;1.66;3.5;6
F1;20190810;2019-08-10;Angers;Bordeaux;3;1;H;2.37;3.1;3.2
F1;20190810;2019-08-10;Brest;Toulouse;1;1;D;2.37;3.2;3.1
F1;20190810;2019-08-10;Dijon;St Etienne;1;2;A;4;3.2;2.05
F1;20190810;2019-08-10;Montpellier;Rennes;0;1;A;2.25;3.1;3.5
F1;20190810;2019-08-10;Nice;Amiens;2;1;H;2.2;3;3.8
F1;20190811;2019-08-11;Lille;Nantes;2;1;H;1.95;3.3;4.2
F1;20190811;2019-08-11;Strasbourg;Metz;1;1;D;2.05;3.2;4
F1;20190811;2019-08-11;Paris SG;Nimes;3;0;H;1.1;10;23
F1;20190816;2019-08-16;Lyon;Angers;6;0;H;1.5;4.33;6
F1;20190817;2019-08-17;Nantes;Marseille;0;0;D;2.6;3.1;2.9
F1;20190817;2019-08-17;Amiens;Lille;1;0;H;3.3;3.1;2.37
F1;20190817;2019-08-17;Bordeaux;Montpellier;1;1;D;2.62;3;3
F1;20190817;2019-08-17;Metz;Monaco;3;0;H;3;3.2;2.5
F1;20190817;2019-08-17;Nimes;Nice;1;2;A;2.1;3.3;3.6
F1;20190817;2019-08-17;Toulouse;Dijon;1;0;H;2.1;3.1;4
F1;20190818;2019-08-18;St Etienne;Brest;1;1;D;1.61;3.75;6
F1;20190818;2019-08-18;Reims;Strasbourg;0;0;D;2;3.2;4
F1;20190818;2019-08-18;Rennes;Paris SG;2;1;H;8;5.25;1.36
F1;20190824;2019-08-24;Amiens;Nantes;1;2;A;2.6;3.1;2.8
F1;20190824;2019-08-24;Angers;Metz;3;0;H;2.1;3.25;3.75
F1;20190824;2019-08-24;Brest;Reims;1;0;H;2.7;3;2.87
F1;20190824;2019-08-24;Dijon;Bordeaux;0;2;A;2.62;3.1;2.8
F1;20190825;2019-08-25;Monaco;Nimes;2;2;D;1.6;3.8;6
F1;20190825;2019-08-25;Strasbourg;Rennes;0;2;A;2.75;3.1;2.7
F1;20190825;2019-08-25;Paris SG;Toulouse;4;0;H;1.1;10;21
F1;20190827;2019-08-27;Montpellier;Lyon;1;0;H;3.6;3.4;2.05
F1;20190828;2019-08-28;Lille;St Etienne;3;0;H;2.2;3.2;3.4
F1;20190828;2019-08-28;Nice;Marseille;1;2;A;3;3.2;2.4
F1;20190830;2019-08-30;Metz;Paris SG;0;2;A;7.5;4.75;1.4
F1;20190831;2019-08-31;Lyon;Bordeaux;1;1;D;1.36;5;8.5
F1;20190831;2019-08-31;Angers;Dijon;2;0;H;1.7;3.6;5
F1;20190831;2019-08-31;Nantes;Montpellier;1;0;H;2.1;3.1;3.75
F1;20190831;2019-08-31;Nimes;Brest;3;0;H;2;3.25;4.2
F1;20190831;2019-08-31;Toulouse;Amiens;2;0;H;2.05;3;4.2
F1;20190901;2019-09-01;Reims;Lille;2;0;H;2.87;2.87;2.8
F1;20190901;2019-09-01;Rennes;Nice;1;2;A;1.72;3.5;5.5
F1;20190901;2019-09-01;Strasbourg;Monaco;2;2;D;2.7;3.2;2.75
F1;20190901;2019-09-01;Marseille;St Etienne;1;0;H;2.05;3.5;3.6
F1;20190913;2019-09-13;Lille;Angers;2;1;H;1.95;3.2;4.5
F1;20190913;2019-09-13;Amiens;Lyon;2;2;D;5;3.75;1.72
F1;20190914;2019-09-14;Paris SG;Strasbourg;1;0;H;1.2;7;13
F1;20190914;2019-09-14;Bordeaux;Metz;2;0;H;1.85;3.3;4.75
F1;20190914;2019-09-14;Brest;Rennes;0;0;D;3.3;3.3;2.25
F1;20190914;2019-09-14;Dijon;Nimes;0;0;D;2.7;3.3;2.62
F1;20190914;2019-09-14;Montpellier;Nice;2;1;H;2;3.5;3.75
F1;20190915;2019-09-15;Nantes;Reims;1;0;H;2.05;3.1;4
F1;20190915;2019-09-15;St Etienne;Toulouse;2;2;D;1.61;4;5.5
F1;20190915;2019-09-15;Monaco;Marseille;3;4;A;2.4;3.6;2.8
F1;20190920;2019-09-20;Strasbourg;Nantes;2;1;H;2.45;3;3.1
F1;20190921;2019-09-21;Marseille;Montpellier;1;1;D;2;3.2;4.2
F1;20190921;2019-09-21;Bordeaux;Brest;2;2;D;1.8;3.4;5
F1;20190921;2019-09-21;Metz;Amiens;1;2;A;2.1;3.1;4
F1;20190921;2019-09-21;Nice;Dijon;2;1;H;1.7;3.4;5.75
F1;20190921;2019-09-21;Nimes;Toulouse;1;0;H;2.05;3.4;3.75
F1;20190921;2019-09-21;Reims;Monaco;0;0;D;2.6;3.2;2.87
F1;20190922;2019-09-22;Rennes;Lille;1;1;D;2.45;3.1;3.1
F1;20190922;2019-09-22;Angers;St Etienne;4;1;H;2.15;3.3;3.5
F1;20190922;2019-09-22;Lyon;Paris SG;0;1;A;3.9;4;1.85
F1;20190924;2019-09-24;Dijon;Marseille;0;0;D;3.6;3.5;2
F1;20190924;2019-09-24;Monaco;Nice;3;1;H;2;3.5;3.8
F1;20190925;2019-09-25;Amiens;Bordeaux;1;3;A;2.5;3;3.2
F1;20190925;2019-09-25;Brest;Lyon;2;2;D;4.75;3.8;1.72
F1;20190925;2019-09-25;Lille;Strasbourg;2;0;H;1.83;3.4;4.75
F1;20190925;2019-09-25;Montpellier;Nimes;1;0;H;1.9;3.4;4.33
F1;20190925;2019-09-25;Nantes;Rennes;1;0;H;2.3;3.1;3.4
F1;20190925;2019-09-25;St Etienne;Metz;0;1;A;1.8;3.5;4.75
F1;20190925;2019-09-25;Toulouse;Angers;0;2;A;2.75;3.1;2.75
F1;20190925;2019-09-25;Paris SG;Reims;0;2;A;1.14;8;19
F1;20190928;2019-09-28;Lyon;Nantes;0;1;A;1.55;3.8;7
F1;20190928;2019-09-28;Bordeaux;Paris SG;0;1;A;6;4.75;1.5
F1;20190928;2019-09-28;Angers;Amiens;1;1;D;1.75;3.4;5.5
F1;20190928;2019-09-28;Metz;Toulouse;2;2;D;2.1;3.25;3.8
F1;20190928;2019-09-28;Monaco;Brest;4;1;H;1.5;4;7.5
F1;20190928;2019-09-28;Nice;Lille;1;1;D;2.9;3.2;2.55
F1;20190928;2019-09-28;Reims;Dijon;1;2;A;1.72;3.4;5.75
F1;20190929;2019-09-29;Strasbourg;Montpellier;1;0;H;2.3;3.2;3.25
F1;20190929;2019-09-29;Nimes;St Etienne;0;1;A;2.37;3.2;3.2
F1;20190929;2019-09-29;Marseille;Rennes;1;1;D;1.9;3.6;4
F1;20191004;2019-10-04;Amiens;Marseille;3;1;H;3.2;3.25;2.3
F1;20191005;2019-10-05;Paris SG;Angers;4;0;H;1.2;7.5;12
F1;20191005;2019-10-05;Brest;Metz;2;0;H;2.5;3.25;2.9
F1;20191005;2019-10-05;Dijon;Strasbourg;1;0;H;2.7;3.1;2.8
