Div;DateInt;DateStr;HomeTeam;AwayTeam;FTHG;FTAG;FTR;B365H;B365D;B365A
F1;20120810;2012-08-10;Montpellier;Toulouse;1;1;D;1.83;3.4;4.5
F1;20120811;2012-08-11;Evian Thonon Gaillard;Bordeaux;2;3;A;2.75;3.2;2.6
F1;20120811;2012-08-11;Nancy;Brest;1;0;H;2.1;3.2;3.6
F1;20120811;2012-08-11;Nice;Ajaccio;0;1;A;1.91;3.25;4.33
F1;20120811;2012-08-11;Paris SG;Lorient;2;2;D;1.33;4.75;10
F1;20120811;2012-08-11;Rennes;Lyon;0;1;A;2.5;3;3
F1;20120811;2012-08-11;Sochaux;Bastia;2;3;A;2.2;3.2;3.4
F1;20120811;2012-08-11;St Etienne;Lille;1;2;A;3;3;2.5
F1;20120811;2012-08-11;Troyes;Valenciennes;0;1;A;2.4;3.1;3.1
F1;20120812;2012-08-12;Reims;Marseille;0;1;A;3.5;3.1;2.2
F1;20120817;2012-08-17;Lille;Nancy;1;1;D;1.44;4;8
F1;20120818;2012-08-18;Bastia;Reims;2;1;H;1.7;3.5;5.25
F1;20120818;2012-08-18;Brest;Evian Thonon Gaillard;1;0;H;2.38;3;3.2
F1;20120818;2012-08-18;Lorient;Montpellier;2;1;H;2.7;3;2.75
F1;20120818;2012-08-18;Lyon;Troyes;4;1;H;1.44;4.2;7.5
F1;20120818;2012-08-18;Toulouse;St Etienne;2;1;H;2.15;3;3.75
F1;20120818;2012-08-18;Valenciennes;Nice;0;0;D;1.91;3.25;4.33
F1;20120819;2012-08-19;Ajaccio;Paris SG;0;0;D;6;3.6;1.62
F1;20120819;2012-08-19;Bordeaux;Rennes;1;0;H;2.1;3.1;3.75
F1;20120819;2012-08-19;Marseille;Sochaux;2;0;H;1.44;4;8
F1;20120824;2012-08-24;Evian Thonon Gaillard;Lyon;1;1;D;3.6;3.2;2.1
F1;20120825;2012-08-25;Nancy;Toulouse;0;1;A;2.38;3.1;3.1
F1;20120825;2012-08-25;Nice;Lille;2;2;D;4;3.2;2
F1;20120825;2012-08-25;Reims;Sochaux;1;0;H;2.15;3.2;3.5
F1;20120825;2012-08-25;Rennes;Bastia;3;2;H;1.83;3.4;4.5
F1;20120825;2012-08-25;Troyes;Lorient;2;2;D;2.6;3;2.9
F1;20120825;2012-08-25;Valenciennes;Ajaccio;3;0;H;1.83;3.25;4.75
F1;20120826;2012-08-26;Montpellier;Marseille;0;1;A;2.3;3.1;3.2
F1;20120826;2012-08-26;Paris SG;Bordeaux;0;0;D;1.57;3.6;6.5
F1;20120826;2012-08-26;St Etienne;Brest;4;0;H;1.7;3.5;5.25
F1;20120901;2012-09-01;Ajaccio;Evian Thonon Gaillard;2;0;H;2.4;3.2;3
F1;20120901;2012-09-01;Bastia;St Etienne;0;3;A;2.4;3.1;3.1
F1;20120901;2012-09-01;Brest;Troyes;2;1;H;2.15;3;3.75
F1;20120901;2012-09-01;Lorient;Nancy;3;0;H;2;3.2;4
F1;20120901;2012-09-01;Lyon;Valenciennes;3;2;H;1.62;3.75;5.5
F1;20120901;2012-09-01;Sochaux;Montpellier;1;3;A;3.6;3.1;2.15
F1;20120901;2012-09-01;Toulouse;Reims;1;1;D;1.67;3.5;5.5
F1;20120902;2012-09-02;Bordeaux;Nice;1;1;D;1.62;3.6;6
F1;20120902;2012-09-02;Lille;Paris SG;1;2;A;2.7;3.25;2.6
F1;20120902;2012-09-02;Marseille;Rennes;3;1;H;1.91;3.25;4.2
