Div;DateInt;DateStr;HomeTeam;AwayTeam;FTHG;FTAG;FTR;B365H;B365D;B365A
F1;20150807;2015-08-07;Lille;Paris SG;0;1;A;6.5;3.6;1.57
F1;20150808;2015-08-08;Bastia;Rennes;2;1;H;2.6;3.1;2.8
F1;20150808;2015-08-08;Marseille;Caen;0;1;A;1.57;4;6
F1;20150808;2015-08-08;Montpellier;Angers;0;2;A;1.83;3.4;4.75
F1;20150808;2015-08-08;Nantes;Guingamp;1;0;H;2.2;3.1;3.6
F1;20150808;2015-08-08;Nice;Monaco;1;2;A;4;3.1;2.05
F1;20150808;2015-08-08;Troyes;Ajaccio GFCO;0;0;D;2.05;3.2;3.75
F1;20150809;2015-08-09;Bordeaux;Reims;1;2;A;1.67;3.75;5.5
F1;20150809;2015-08-09;Lyon;Lorient;0;0;D;1.57;4;6
F1;20150809;2015-08-09;Toulouse;St Etienne;2;1;H;3.1;3.1;2.4
F1;20150814;2015-08-14;Monaco;Lille;0;0;D;1.62;3.6;6.5
F1;20150815;2015-08-15;Angers;Nantes;0;0;D;2.5;3.1;3.1
F1;20150815;2015-08-15;Caen;Toulouse;1;0;H;2.2;3.4;3.25
F1;20150815;2015-08-15;Guingamp;Lyon;0;1;A;3.6;3.25;2.15
F1;20150815;2015-08-15;Rennes;Montpellier;1;0;H;2.25;3.1;3.5
F1;20150815;2015-08-15;St Etienne;Bordeaux;1;1;D;1.95;3.4;4.2
F1;20150815;2015-08-15;Troyes;Nice;3;3;D;2.15;3.25;3.6
F1;20150816;2015-08-16;Lorient;Bastia;1;1;D;1.85;3.4;4.75
F1;20150816;2015-08-16;Paris SG;Ajaccio GFCO;2;0;H;1.11;10;21
F1;20150816;2015-08-16;Reims;Marseille;1;0;H;3.5;3.25;2.2
F1;20150821;2015-08-21;Montpellier;Paris SG;0;1;A;8;4.2;1.45
F1;20150822;2015-08-22;Ajaccio GFCO;Angers;0;2;A;2.3;3;3.6
F1;20150822;2015-08-22;Bastia;Guingamp;3;0;H;2.3;3;3.4
F1;20150822;2015-08-22;Lyon;Rennes;1;2;A;1.57;3.75;7
F1;20150822;2015-08-22;Nantes;Reims;1;0;H;2.2;3.1;3.6
F1;20150822;2015-08-22;Nice;Caen;2;1;H;2.2;3.3;3.4
F1;20150822;2015-08-22;Toulouse;Monaco;1;1;D;3.1;3.1;2.5
F1;20150823;2015-08-23;Lille;Bordeaux;0;0;D;2.1;3.2;3.8
F1;20150823;2015-08-23;Lorient;St Etienne;0;1;A;2.63;3;3
F1;20150823;2015-08-23;Marseille;Troyes;6;0;H;1.62;3.8;6
F1;20150828;2015-08-28;Guingamp;Marseille;2;0;H;4;3.3;2
F1;20150829;2015-08-29;Angers;Nice;1;1;D;2.3;3.1;3.4
F1;20150829;2015-08-29;Caen;Lyon;0;4;A;3.3;3.3;2.25
F1;20150829;2015-08-29;Lille;Ajaccio GFCO;1;0;H;1.4;4;10
F1;20150829;2015-08-29;Reims;Lorient;4;1;H;2.25;3.1;3.5
F1;20150829;2015-08-29;Rennes;Toulouse;3;1;H;2.15;3.25;3.6
F1;20150829;2015-08-29;Troyes;Montpellier;0;0;D;2.5;3.1;3
F1;20150830;2015-08-30;Bordeaux;Nantes;2;0;H;2;3.25;4.2
F1;20150830;2015-08-30;Monaco;Paris SG;0;3;A;4.2;3.25;2
F1;20150830;2015-08-30;St Etienne;Bastia;2;1;H;1.73;3.4;5.75
F1;20150911;2015-09-11;Paris SG;Bordeaux;2;2;D;1.25;5.75;13
F1;20150912;2015-09-12;Lorient;Angers;3;1;H;1.91;3.3;4.5
F1;20150912;2015-09-12;Lyon;Lille;0;0;D;1.83;3.4;4.75
F1;20150912;2015-09-12;Montpellier;St Etienne;1;2;A;2.5;3.1;3.1
F1;20150912;2015-09-12;Nice;Guingamp;0;1;A;2.25;3.1;3.5
F1;20150912;2015-09-12;Toulouse;Reims;2;2;D;2;3.5;3.75
F1;20150912;2015-09-12;Troyes;Caen;1;3;A;2.25;3.2;3.4
F1;20150913;2015-09-13;Ajaccio GFCO;Monaco;0;1;A;4.5;3.3;1.91
F1;20150913;2015-09-13;Marseille;Bastia;4;1;H;1.44;4.2;8.5
F1;20150913;2015-09-13;Nantes;Rennes;0;2;A;2.6;2.88;3.1
F1;20150918;2015-09-18;Rennes;Lille;1;1;D;2.38;3;3.4
F1;20150919;2015-09-19;Angers;Troyes;1;0;H;2.1;3.1;4
F1;20150919;2015-09-19;Bastia;Nice;1;3;A;2.25;3.1;3.5
F1;20150919;2015-09-19;Caen;Montpellier;2;1;H;2.15;3.1;3.75
F1;20150919;2015-09-19;Guingamp;Ajaccio GFCO;2;1;H;1.85;3.3;4.75
F1;20150919;2015-09-19;Reims;Paris SG;1;1;D;8;4.75;1.4
F1;20150920;2015-09-20;Bordeaux;Toulouse;1;1;D;2.1;3.1;4
F1;20150920;2015-09-20;Marseille;Lyon;1;1;D;2.05;3.3;3.8
F1;20150920;2015-09-20;Monaco;Lorient;2;3;A;1.7;3.6;5.5
F1;20150920;2015-09-20;St Etienne;Nantes;2;0;H;1.67;3.5;6
F1;20150922;2015-09-22;Angers;Reims;0;0;D;2.5;3;3.2
F1;20150922;2015-09-22;Paris SG;Guingamp;3;0;H;1.2;6.5;17
F1;20150923;2015-09-23;Ajaccio GFCO;Rennes;1;1;D;3.5;3;2.3
F1;20150923;2015-09-23;Lorient;Caen;2;0;H;2.2;3.2;3.5
F1;20150923;2015-09-23;Lyon;Bastia;2;0;H;1.5;4;7.5
F1;20150923;2015-09-23;Nice;Bordeaux;6;1;H;2.7;3;2.88
F1;20150923;2015-09-23;Toulouse;Marseille;1;1;D;2.9;3.1;2.6
F1;20150923;2015-09-23;Troyes;St Etienne;0;1;A;3.4;3.1;2.3
F1;20150924;2015-09-24;Montpellier;Monaco;2;3;A;3.2;3.1;2.4
F1;20150925;2015-09-25;Reims;Lille;1;0;H;2.7;3.1;2.8
F1;20150926;2015-09-26;Bastia;Toulouse;3;0;H;2.88;3.1;2.63
F1;20150926;2015-09-26;Bordeaux;Lyon;3;1;H;2.75;3;2.8
F1;20150926;2015-09-26;Caen;Ajaccio GFCO;2;0;H;1.75;3.6;5
F1;20150926;2015-09-26;Nantes;Paris SG;1;4;A;10;4.33;1.4
F1;20150926;2015-09-26;Rennes;Troyes;1;1;D;1.73;3.5;5.5
F1;20150927;2015-09-27;Guingamp;Monaco;3;3;D;3.25;3.1;2.38
F1;20150927;2015-09-27;Marseille;Angers;1;2;A;1.4;4.5;8.5
F1;20150927;2015-09-27;Montpellier;Lorient;2;1;H;2.2;3.25;3.5
F1;20150927;2015-09-27;St Etienne;Nice;1;4;A;1.73;3.6;5.25
