Div;DateInt;DateStr;HomeTeam;AwayTeam;FTHG;FTAG;FTR;B365H;B365D;B365A
F1;20130809;2013-08-09;Montpellier;Paris SG;1;1;D;4.75;3.5;1.75
F1;20130810;2013-08-10;Bordeaux;Monaco;0;2;A;3;3;2.5
F1;20130810;2013-08-10;Evian Thonon Gaillard;Sochaux;1;1;D;2.15;3.1;3.6
F1;20130810;2013-08-10;Lille;Lorient;1;0;H;1.62;3.6;6
F1;20130810;2013-08-10;Lyon;Nice;4;0;H;1.73;3.5;5
F1;20130810;2013-08-10;Nantes;Bastia;2;0;H;2.25;3.1;3.4
F1;20130810;2013-08-10;Rennes;Reims;2;1;H;1.7;3.4;5.5
F1;20130810;2013-08-10;Valenciennes;Toulouse;3;0;H;2.5;3.1;2.9
F1;20130811;2013-08-11;Ajaccio;St Etienne;0;1;A;3.4;3.2;2.2
F1;20130811;2013-08-11;Guingamp;Marseille;1;3;A;3.4;3.2;2.2
F1;20130816;2013-08-16;Sochaux;Lyon;1;3;A;3.6;3.2;2.1
F1;20130817;2013-08-17;Bastia;Valenciennes;2;0;H;2.1;3.3;3.5
F1;20130817;2013-08-17;Marseille;Evian Thonon Gaillard;2;0;H;1.4;4.5;8
F1;20130817;2013-08-17;Nice;Rennes;2;1;H;2.3;3.2;3.2
F1;20130817;2013-08-17;Reims;Lille;2;1;H;3.6;3.2;2.1
F1;20130817;2013-08-17;St Etienne;Guingamp;1;0;H;1.44;4;8
F1;20130817;2013-08-17;Toulouse;Bordeaux;1;1;D;2.38;3;3.25
F1;20130818;2013-08-18;Lorient;Nantes;2;1;H;2.15;3.2;3.5
F1;20130818;2013-08-18;Monaco;Montpellier;4;1;H;1.53;3.8;6.5
F1;20130818;2013-08-18;Paris SG;Ajaccio;1;1;D;1.2;6.5;13
F1;20130823;2013-08-23;Monaco;Toulouse;0;0;D;1.36;4.5;9
F1;20130824;2013-08-24;Bordeaux;Bastia;1;0;H;1.7;3.6;5
F1;20130824;2013-08-24;Evian Thonon Gaillard;Rennes;1;2;A;2.38;3.1;3.1
F1;20130824;2013-08-24;Guingamp;Lorient;2;0;H;2.3;3.1;3.2
F1;20130824;2013-08-24;Lyon;Reims;0;1;A;1.53;4;6
F1;20130824;2013-08-24;Montpellier;Sochaux;2;1;H;1.73;3.5;5
F1;20130824;2013-08-24;Valenciennes;Marseille;0;1;A;3.5;3.3;2.1
F1;20130825;2013-08-25;Ajaccio;Nice;0;0;D;2.5;3.1;2.9
F1;20130825;2013-08-25;Lille;St Etienne;1;0;H;1.95;3.25;4.2
F1;20130825;2013-08-25;Nantes;Paris SG;1;2;A;6;3.8;1.57
F1;20130831;2013-08-31;Bastia;Toulouse;2;1;H;2.5;3.2;2.88
F1;20130831;2013-08-31;Evian Thonon Gaillard;Lyon;2;1;H;3.25;3.2;2.25
F1;20130831;2013-08-31;Lorient;Valenciennes;1;0;H;1.91;3.4;4
F1;20130831;2013-08-31;Paris SG;Guingamp;2;0;H;1.18;6.5;16
F1;20130831;2013-08-31;Reims;Nantes;0;0;D;2.25;3.1;3.4
F1;20130831;2013-08-31;Rennes;Lille;0;0;D;2.88;3.1;2.55
F1;20130831;2013-08-31;Sochaux;Ajaccio;0;0;D;2;3.2;4
F1;20130901;2013-09-01;Marseille;Monaco;1;2;A;2.4;3.1;3.1
F1;20130901;2013-09-01;Nice;Montpellier;2;2;D;2;3.25;3.8
F1;20130901;2013-09-01;St Etienne;Bordeaux;2;1;H;2;3.3;3.8
F1;20130913;2013-09-13;Bordeaux;Paris SG;0;2;A;4.33;3.25;1.91
F1;20130914;2013-09-14;Ajaccio;Evian Thonon Gaillard;2;3;A;2.7;3;2.8
F1;20130914;2013-09-14;Guingamp;Bastia;1;1;D;2.05;3.25;3.75
F1;20130914;2013-09-14;Montpellier;Reims;0;0;D;1.83;3.25;4.75
F1;20130914;2013-09-14;Nantes;Sochaux;1;0;H;1.91;3.25;4.33
F1;20130914;2013-09-14;Toulouse;Marseille;1;1;D;2.88;3;2.6
F1;20130914;2013-09-14;Valenciennes;St Etienne;1;3;A;3.4;3.1;2.25
F1;20130915;2013-09-15;Lille;Nice;0;2;A;1.7;3.4;5.5
F1;20130915;2013-09-15;Lyon;Rennes;0;0;D;1.91;3.3;4.2
F1;20130915;2013-09-15;Monaco;Lorient;1;0;H;1.4;4.5;8
F1;20130920;2013-09-20;St Etienne;Toulouse;1;2;A;1.8;3.25;5
F1;20130921;2013-09-21;Bastia;Marseille;0;0;D;3.3;3.1;2.3
F1;20130921;2013-09-21;Evian Thonon Gaillard;Montpellier;2;2;D;2.2;3.3;3.25
F1;20130921;2013-09-21;Reims;Guingamp;1;1;D;2.1;3.2;3.6
F1;20130921;2013-09-21;Rennes;Ajaccio;2;0;H;1.73;3.4;5.25
F1;20130921;2013-09-21;Sochaux;Lille;0;2;A;3.75;3.25;2.05
F1;20130922;2013-09-22;Lorient;Bordeaux;3;3;D;2.63;3.1;2.75
F1;20130922;2013-09-22;Lyon;Nantes;3;1;H;1.75;3.4;5
F1;20130922;2013-09-22;Nice;Valenciennes;4;0;H;1.73;3.5;5
F1;20130922;2013-09-22;Paris SG;Monaco;1;1;D;1.8;3.5;4.5
F1;20130924;2013-09-24;Lille;Evian Thonon Gaillard;3;0;H;1.53;3.8;6.5
F1;20130924;2013-09-24;Marseille;St Etienne;2;1;H;2;3.2;4
F1;20130925;2013-09-25;Ajaccio;Lyon;2;1;H;3.6;3.25;2.1
F1;20130925;2013-09-25;Bordeaux;Reims;0;0;D;1.75;3.5;4.75
F1;20130925;2013-09-25;Guingamp;Sochaux;5;1;H;1.85;3.4;4.33
F1;20130925;2013-09-25;Monaco;Bastia;3;0;H;1.25;5.5;12
F1;20130925;2013-09-25;Nantes;Nice;2;0;H;2.15;3.2;3.5
F1;20130925;2013-09-25;Toulouse;Lorient;1;0;H;2;3.2;4
F1;20130925;2013-09-25;Valenciennes;Paris SG;0;1;A;8.5;4.25;1.4
F1;20130926;2013-09-26;Montpellier;Rennes;0;0;D;2.1;3.1;3.8
F1;20130928;2013-09-28;Evian Thonon Gaillard;Bordeaux;1;1;D;2.5;3.1;2.9
F1;20130928;2013-09-28;Lorient;Marseille;0;2;A;2.88;3.2;2.5
F1;20130928;2013-09-28;Lyon;Lille;0;0;D;2.25;3.2;3.25
F1;20130928;2013-09-28;Nice;Guingamp;1;0;H;1.95;3.25;4.2
F1;20130928;2013-09-28;Paris SG;Toulouse;2;0;H;1.25;5.5;12
