Div;DateInt;DateStr;HomeTeam;AwayTeam;FTHG;FTAG;FTR;B365H;B365D;B365A
F1;20210806;2021-08-06;Monaco;Nantes;1;1;D;1.44;4.33;7
F1;20210807;2021-08-07;Lyon;Brest;1;1;D;1.33;5;8.5
F1;20210807;2021-08-07;Troyes;Paris SG;1;2;A;11;6;1.25
F1;20210808;2021-08-08;Rennes;Lens;1;1;D;2;3.4;3.75
F1;20210808;2021-08-08;Bordeaux;Clermont;0;2;A;2;3.4;3.75
F1;20210808;2021-08-08;Nice;Reims;0;0;D;1.85;3.5;4.2
F1;20210808;2021-08-08;St Etienne;Lorient;1;1;D;2.25;3.25;3.2
F1;20210808;2021-08-08;Strasbourg;Angers;0;2;A;2;3.2;4
F1;20210808;2021-08-08;Metz;Lille;3;3;D;5.25;3.4;1.72
F1;20210808;2021-08-08;Montpellier;Marseille;2;3;A;3.2;3.4;2.2
F1;20210813;2021-08-13;Lorient;Monaco;1;0;H;4;3.75;1.85
F1;20210814;2021-08-14;Lille;Nice;0;4;A;1.8;3.5;4.75
F1;20210814;2021-08-14;Paris SG;Strasbourg;4;2;H;1.2;7;13
F1;20210815;2021-08-15;Angers;Lyon;3;0;H;4.5;3.8;1.75
F1;20210815;2021-08-15;Brest;Rennes;1;1;D;3.1;3.4;2.3
F1;20210815;2021-08-15;Clermont;Troyes;2;0;H;2;3.4;3.8
F1;20210815;2021-08-15;Nantes;Metz;2;0;H;2.3;3.2;3.25
F1;20210815;2021-08-15;Reims;Montpellier;3;3;D;2.6;3.3;2.75
F1;20210815;2021-08-15;Lens;St Etienne;2;2;D;2;3.5;3.75
F1;20210815;2021-08-15;Marseille;Bordeaux;2;2;D;1.53;4.2;6
F1;20210820;2021-08-20;Brest;Paris SG;2;4;A;9.5;5.75;1.25
F1;20210821;2021-08-21;Monaco;Lens;0;2;A;1.7;3.75;4.75
F1;20210821;2021-08-21;St Etienne;Lille;1;1;D;3.1;3.2;2.4
F1;20210822;2021-08-22;Lyon;Clermont;3;3;D;1.55;4.5;5.25
F1;20210822;2021-08-22;Bordeaux;Angers;1;1;D;2.87;3.2;2.62
F1;20210822;2021-08-22;Metz;Reims;1;1;D;2.25;3.2;3.4
F1;20210822;2021-08-22;Montpellier;Lorient;3;1;H;2.1;3.4;3.5
F1;20210822;2021-08-22;Strasbourg;Troyes;1;1;D;2;3.4;3.75
F1;20210822;2021-08-22;Rennes;Nantes;1;0;H;1.85;3.6;4.2
F1;20210827;2021-08-27;Nantes;Lyon;0;1;A;4.5;4;1.66
F1;20210828;2021-08-28;Nice;Bordeaux;4;0;H;1.6;4.2;5.25
F1;20210828;2021-08-28;Marseille;St Etienne;3;1;H;1.7;3.8;4.75
F1;20210829;2021-08-29;Troyes;Monaco;1;2;A;4.33;3.6;1.83
F1;20210829;2021-08-29;Angers;Rennes;2;0;H;2.9;3.25;2.5
F1;20210829;2021-08-29;Clermont;Metz;2;2;D;1.72;3.75;4.75
F1;20210829;2021-08-29;Lens;Lorient;2;2;D;1.75;3.6;5
F1;20210829;2021-08-29;Strasbourg;Brest;3;1;H;2;3.3;4
F1;20210829;2021-08-29;Lille;Montpellier;2;1;H;1.66;4;5
