Div;DateInt;DateStr;HomeTeam;AwayTeam;FTHG;FTAG;FTR;B365H;B365D;B365A
F1;20180810;2018-08-10;Marseille;Toulouse;4;0;H;1.4;4.5;8
F1;20180811;2018-08-11;Angers;Nimes;3;4;A;2.3;3.2;3.3
F1;20180811;2018-08-11;Lille;Rennes;3;1;H;2.5;3.1;3.1
F1;20180811;2018-08-11;Montpellier;Dijon;1;2;A;1.72;3.5;5.5
F1;20180811;2018-08-11;Nantes;Monaco;1;3;A;3.2;3.25;2.3
F1;20180811;2018-08-11;Nice;Reims;0;1;A;1.85;3.5;4.5
F1;20180811;2018-08-11;St Etienne;Guingamp;2;1;H;1.8;3.5;4.75
F1;20180812;2018-08-12;Bordeaux;Strasbourg;0;2;A;1.7;3.6;5
F1;20180812;2018-08-12;Lyon;Amiens;2;0;H;1.2;7;13
F1;20180812;2018-08-12;Paris SG;Caen;3;0;H;1.08;12;23
F1;20180817;2018-08-17;Reims;Lyon;1;0;H;4.75;4;1.7
F1;20180818;2018-08-18;Amiens;Montpellier;1;2;A;3.2;3;2.5
F1;20180818;2018-08-18;Caen;Nice;1;1;D;2.75;3.1;2.75
F1;20180818;2018-08-18;Dijon;Nantes;2;0;H;2.6;3.25;2.8
F1;20180818;2018-08-18;Guingamp;Paris SG;1;3;A;13;7;1.2
F1;20180818;2018-08-18;Monaco;Lille;0;0;D;1.5;4.33;6.5
F1;20180818;2018-08-18;Rennes;Angers;1;0;H;1.9;3.3;4.5
F1;20180819;2018-08-19;Nimes;Marseille;3;1;H;4.75;3.8;1.72
F1;20180819;2018-08-19;Strasbourg;St Etienne;1;1;D;2.6;3.2;2.8
F1;20180819;2018-08-19;Toulouse;Bordeaux;2;1;H;2.6;3.1;2.9
F1;20180824;2018-08-24;Lyon;Strasbourg;2;0;H;1.28;5.75;11
F1;20180825;2018-08-25;Amiens;Reims;4;1;H;2.6;3.25;2.8
F1;20180825;2018-08-25;Montpellier;St Etienne;0;0;D;2.4;3.1;3.2
F1;20180825;2018-08-25;Nantes;Caen;1;1;D;1.95;3.25;4.33
F1;20180825;2018-08-25;Nice;Dijon;0;4;A;1.9;3.4;4.33
F1;20180825;2018-08-25;Paris SG;Angers;3;1;H;1.07;13;26
F1;20180825;2018-08-25;Toulouse;Nimes;1;0;H;2.3;3.2;3.3
F1;20180826;2018-08-26;Bordeaux;Monaco;2;1;H;3.1;3.3;2.37
F1;20180826;2018-08-26;Lille;Guingamp;3;0;H;2;3.4;3.9
F1;20180826;2018-08-26;Marseille;Rennes;2;2;D;1.5;4.33;6.5
F1;20180831;2018-08-31;Lyon;Nice;0;1;A;1.33;5.25;9.5
F1;20180901;2018-09-01;Angers;Lille;1;0;H;2.45;3.25;3
F1;20180901;2018-09-01;Dijon;Caen;0;2;A;1.9;3.4;4.33
F1;20180901;2018-09-01;Guingamp;Toulouse;1;2;A;2.04;3.4;3.75
F1;20180901;2018-09-01;Nimes;Paris SG;2;4;A;11;7;1.22
F1;20180901;2018-09-01;Reims;Montpellier;0;1;A;2.6;3.1;2.9
F1;20180901;2018-09-01;Strasbourg;Nantes;2;3;A;2.3;3.1;3.4
F1;20180902;2018-09-02;Monaco;Marseille;2;3;A;2.8;3.3;2.54
F1;20180902;2018-09-02;Rennes;Bordeaux;2;0;H;2.1;3.3;3.75
F1;20180902;2018-09-02;St Etienne;Amiens;0;0;D;1.61;3.75;6
F1;20180914;2018-09-14;Nice;Rennes;2;1;H;2.5;3.25;2.8
F1;20180914;2018-09-14;Paris SG;St Etienne;4;0;H;1.25;6;11
F1;20180915;2018-09-15;Amiens;Lille;2;3;A;3.4;3.1;2.3
F1;20180915;2018-09-15;Caen;Lyon;2;2;D;5.5;3.75;1.64
F1;20180915;2018-09-15;Dijon;Angers;1;3;A;2.14;3.4;3.4
F1;20180915;2018-09-15;Montpellier;Strasbourg;1;1;D;1.95;3.4;4.2
F1;20180915;2018-09-15;Toulouse;Monaco;1;1;D;3;3.3;2.4
F1;20180916;2018-09-16;Bordeaux;Nimes;3;3;D;1.83;3.4;4.5
F1;20180916;2018-09-16;Marseille;Guingamp;4;0;H;1.28;5.75;10
F1;20180916;2018-09-16;Nantes;Reims;0;0;D;1.9;3.25;4.33
F1;20180921;2018-09-21;Monaco;Nimes;1;1;D;1.75;4;4.33
F1;20180922;2018-09-22;Angers;Toulouse;0;0;D;2.14;3.2;3.6
F1;20180922;2018-09-22;Lille;Nantes;2;1;H;1.85;3.5;4.5
F1;20180922;2018-09-22;Montpellier;Nice;1;0;H;2.2;3;3.75
F1;20180922;2018-09-22;Reims;Dijon;0;0;D;2.04;3.3;3.8
F1;20180922;2018-09-22;St Etienne;Caen;2;1;H;1.64;3.5;6.5
F1;20180922;2018-09-22;Strasbourg;Amiens;3;1;H;1.8;3.3;5.25
F1;20180923;2018-09-23;Guingamp;Bordeaux;1;3;A;2.25;3.1;3.5
F1;20180923;2018-09-23;Lyon;Marseille;4;2;H;1.95;3.5;3.8
F1;20180923;2018-09-23;Rennes;Paris SG;1;3;A;7.5;4.5;1.4
F1;20180925;2018-09-25;Monaco;Angers;0;1;A;1.75;3.8;4.75
F1;20180925;2018-09-25;Nantes;Nice;1;2;A;2.4;3.2;3.1
F1;20180925;2018-09-25;Toulouse;St Etienne;2;3;A;2.6;3;3
F1;20180926;2018-09-26;Amiens;Rennes;2;1;H;3.25;3.1;2.4
F1;20180926;2018-09-26;Bordeaux;Lille;1;0;H;2.45;3.2;3
F1;20180926;2018-09-26;Caen;Montpellier;2;2;D;3;3;2.6
F1;20180926;2018-09-26;Dijon;Lyon;0;3;A;5.75;4.2;1.57
F1;20180926;2018-09-26;Marseille;Strasbourg;3;2;H;1.44;4.5;7.5
F1;20180926;2018-09-26;Nimes;Guingamp;0;0;D;1.95;3.6;3.8
F1;20180926;2018-09-26;Paris SG;Reims;4;1;H;1.12;9;21
F1;20180928;2018-09-28;St Etienne;Monaco;2;0;H;1.95;3.4;4
F1;20180929;2018-09-29;Angers;Guingamp;0;1;A;2.14;3.2;3.7
F1;20180929;2018-09-29;Caen;Amiens;1;0;H;2.14;3.25;3.6
F1;20180929;2018-09-29;Lyon;Nantes;1;1;D;1.3;5.75;9.5
F1;20180929;2018-09-29;Nice;Paris SG;0;3;A;7.5;5.5;1.36
F1;20180929;2018-09-29;Reims;Bordeaux;0;0;D;2.3;3.25;3.25
F1;20180929;2018-09-29;Strasbourg;Dijon;3;0;H;1.95;3.5;4
F1;20180930;2018-09-30;Lille;Marseille;3;0;H;3.1;3.4;2.3
F1;20180930;2018-09-30;Montpellier;Nimes;3;0;H;1.85;3.6;4.33
F1;20180930;2018-09-30;Rennes;Toulouse;1;1;D;1.95;3.5;4
F1;20181005;2018-10-05;Toulouse;Nice;1;1;D;2.37;3.3;3.1
