Div;DateInt;DateStr;HomeTeam;AwayTeam;FTHG;FTAG;FTR;B365H;B365D;B365A
F1;20200821;2020-08-21;Bordeaux;Nantes;0;0;D;2.4;3;3.25
F1;20200822;2020-08-22;Dijon;Angers;0;1;A;2.7;3.1;2.8
F1;20200822;2020-08-22;Lille;Rennes;1;1;D;2.3;3.2;3.3
F1;20200823;2020-08-23;Monaco;Reims;2;2;D;1.9;3.4;4.33
F1;20200823;2020-08-23;Lorient;Strasbourg;3;1;H;2.5;3.2;3
F1;20200823;2020-08-23;Nimes;Brest;4;0;H;2.3;3.2;3.3
F1;20200823;2020-08-23;Nice;Lens;2;1;H;2;3.3;4
F1;20200828;2020-08-28;Lyon;Dijon;4;1;H;1.28;5.75;9
F1;20200829;2020-08-29;Rennes;Montpellier;2;1;H;2;3.3;3.8
F1;20200829;2020-08-29;Strasbourg;Nice;0;2;A;2.2;3.3;3.3
F1;20200830;2020-08-30;Reims;Lille;0;1;A;3;3.1;2.45
F1;20200830;2020-08-30;Angers;Bordeaux;0;2;A;2.25;3.1;3.4
F1;20200830;2020-08-30;Metz;Monaco;0;1;A;3.75;3.4;2
F1;20200830;2020-08-30;Nantes;Nimes;2;1;H;1.95;3.2;4.2
F1;20200830;2020-08-30;St Etienne;Lorient;2;0;H;2.2;3.2;3.4
F1;20200830;2020-08-30;Brest;Marseille;2;3;A;3;3.5;2
F1;20200910;2020-09-10;Lens;Paris SG;1;0;H;5;4;1.65
F1;20200911;2020-09-11;Bordeaux;Lyon;0;0;D;4.5;3.6;1.83
F1;20200912;2020-09-12;Montpellier;Nice;3;1;H;2.2;3.3;3.4
F1;20200912;2020-09-12;St Etienne;Strasbourg;2;0;H;2.2;3.2;3.5
F1;20200913;2020-09-13;Lille;Metz;1;0;H;1.53;3.75;7.5
F1;20200913;2020-09-13;Angers;Reims;1;0;H;2.37;3;3.4
F1;20200913;2020-09-13;Dijon;Brest;0;2;A;2.4;3.3;3
F1;20200913;2020-09-13;Lorient;Lens;2;3;A;2.1;3.3;3.75
F1;20200913;2020-09-13;Nimes;Rennes;2;4;A;3.3;3.3;2.25
F1;20200913;2020-09-13;Monaco;Nantes;2;1;H;1.9;3.6;4
F1;20200913;2020-09-13;Paris SG;Marseille;0;1;A;;;
F1;20200915;2020-09-15;Montpellier;Lyon;2;1;H;3.8;3.3;2.05
F1;20200916;2020-09-16;Paris SG;Metz;1;0;H;1.25;7;9
F1;20200917;2020-09-17;Marseille;St Etienne;0;2;A;2;3.3;4
F1;20200918;2020-09-18;Lyon;Nimes;0;0;D;1.3;5.5;10
F1;20200919;2020-09-19;Lens;Bordeaux;2;1;H;2.3;3.1;3.4
F1;20200919;2020-09-19;Rennes;Monaco;2;1;H;2.35;3.4;3
F1;20200920;2020-09-20;Nice;Paris SG;0;3;A;7.5;5;1.4
F1;20200920;2020-09-20;Brest;Lorient;3;2;H;2.4;3.1;3.2
F1;20200920;2020-09-20;Metz;Reims;2;1;H;2.55;3;3.1
F1;20200920;2020-09-20;Montpellier;Angers;4;1;H;2.1;3.25;3.75
F1;20200920;2020-09-20;Strasbourg;Dijon;1;0;H;1.65;3.75;5.5
F1;20200920;2020-09-20;Nantes;St Etienne;2;2;D;2.3;3.1;3.4
F1;20200920;2020-09-20;Marseille;Lille;1;1;D;2.3;3.2;3.3
F1;20200925;2020-09-25;Lille;Nantes;2;0;H;1.66;3.75;5.5
F1;20200926;2020-09-26;St Etienne;Rennes;0;3;A;2.87;3.1;2.6
F1;20200926;2020-09-26;Marseille;Metz;1;1;D;1.61;3.75;6
F1;20200927;2020-09-27;Bordeaux;Nice;0;0;D;2.1;3.25;3.6
F1;20200927;2020-09-27;Angers;Brest;3;2;H;2.05;3.3;3.8
F1;20200927;2020-09-27;Dijon;Montpellier;2;2;D;4.5;3.6;1.8
F1;20200927;2020-09-27;Monaco;Strasbourg;3;2;H;1.85;3.5;4.2
F1;20200927;2020-09-27;Nimes;Lens;1;1;D;2.6;3.3;2.75
F1;20200927;2020-09-27;Lorient;Lyon;1;1;D;5.75;4.2;1.57
F1;20200927;2020-09-27;Reims;Paris SG;0;2;A;13;6;1.22
F1;20201002;2020-10-02;Paris SG;Angers;6;1;H;1.1;9;21
F1;20201003;2020-10-03;Lens;St Etienne;2;0;H;1.95;3.5;4.2
F1;20201003;2020-10-03;Nice;Nantes;2;1;H;2.45;3.25;3
