Div;DateInt;DateStr;HomeTeam;AwayTeam;FTHG;FTAG;FTR;B365H;B365D;B365A
F1;20160812;2016-08-12;Bastia;Paris SG;0;1;A;13;4.75;1.29
F1;20160812;2016-08-12;Monaco;Guingamp;2;2;D;1.62;3.8;5.25
F1;20160813;2016-08-13;Bordeaux;St Etienne;3;2;H;2.5;3.1;3.1
F1;20160813;2016-08-13;Caen;Lorient;3;2;H;2.2;3.25;3.5
F1;20160813;2016-08-13;Dijon;Nantes;0;1;A;2.5;3.1;3.1
F1;20160813;2016-08-13;Metz;Lille;3;2;H;3.4;3.2;2.2
F1;20160813;2016-08-13;Montpellier;Angers;1;0;H;2.1;3.1;4
F1;20160814;2016-08-14;Marseille;Toulouse;0;0;D;2;3.3;4
F1;20160814;2016-08-14;Nancy;Lyon;0;3;A;3.5;3.3;2.15
F1;20160814;2016-08-14;Nice;Rennes;1;0;H;2.38;3.1;3.25
F1;20160819;2016-08-19;Lyon;Caen;2;0;H;1.33;4.75;9.5
F1;20160820;2016-08-20;Angers;Nice;0;1;A;2.5;3;3.2
F1;20160820;2016-08-20;Lille;Dijon;1;0;H;1.67;3.5;6
F1;20160820;2016-08-20;Lorient;Bastia;0;3;A;1.85;3.5;4.5
F1;20160820;2016-08-20;Nantes;Monaco;0;1;A;2.5;3;3
F1;20160820;2016-08-20;Rennes;Nancy;2;0;H;2.1;3.25;3.8
F1;20160820;2016-08-20;Toulouse;Bordeaux;4;1;H;2.3;3.2;3.25
F1;20160821;2016-08-21;Guingamp;Marseille;2;1;H;2.7;3.1;2.8
F1;20160821;2016-08-21;Paris SG;Metz;3;0;H;1.13;8;26
F1;20160821;2016-08-21;St Etienne;Montpellier;3;1;H;2.05;3.25;3.75
F1;20160826;2016-08-26;Marseille;Lorient;2;0;H;1.75;3.6;5
F1;20160827;2016-08-27;Caen;Bastia;2;0;H;2.1;3.25;3.8
F1;20160827;2016-08-27;Dijon;Lyon;4;2;H;4.33;3.6;1.83
F1;20160827;2016-08-27;Metz;Angers;2;0;H;2.5;3;3.2
F1;20160827;2016-08-27;Montpellier;Rennes;1;1;D;2.38;3.1;3.2
F1;20160827;2016-08-27;Nancy;Guingamp;0;2;A;2.15;3.25;3.6
F1;20160827;2016-08-27;Nice;Lille;1;1;D;2.5;3;3
F1;20160828;2016-08-28;Bordeaux;Nantes;1;0;H;2.05;3.1;4.2
F1;20160828;2016-08-28;Monaco;Paris SG;3;1;H;4.75;3.5;1.8
F1;20160828;2016-08-28;St Etienne;Toulouse;0;0;D;2.15;3.25;3.6
F1;20160909;2016-09-09;Paris SG;St Etienne;1;1;D;1.33;5.25;9.5
F1;20160910;2016-09-10;Angers;Dijon;3;1;H;2.25;3.1;3.5
F1;20160910;2016-09-10;Bastia;Toulouse;2;1;H;2.75;3;2.75
F1;20160910;2016-09-10;Guingamp;Montpellier;1;1;D;2.3;3.1;3.5
F1;20160910;2016-09-10;Lille;Monaco;1;4;A;2.6;2.9;3.1
F1;20160910;2016-09-10;Lorient;Nancy;0;2;A;2.38;3.1;3.3
F1;20160910;2016-09-10;Lyon;Bordeaux;1;3;A;1.62;3.8;5.5
F1;20160911;2016-09-11;Nantes;Metz;0;3;A;1.73;3.4;5.5
F1;20160911;2016-09-11;Nice;Marseille;3;2;H;2.3;3.2;3.4
F1;20160911;2016-09-11;Rennes;Caen;2;0;H;2;3.3;4
F1;20160916;2016-09-16;Caen;Paris SG;0;6;A;7;4.5;1.4
F1;20160917;2016-09-17;Bordeaux;Angers;0;1;A;1.8;3.5;4.75
F1;20160917;2016-09-17;Dijon;Metz;0;0;D;2.15;3.1;3.75
F1;20160917;2016-09-17;Lorient;Lille;1;0;H;3.1;3.1;2.5
F1;20160917;2016-09-17;Monaco;Rennes;3;0;H;1.73;3.5;5
F1;20160917;2016-09-17;Nancy;Nantes;1;1;D;2.6;2.9;3.1
F1;20160917;2016-09-17;Toulouse;Guingamp;2;1;H;2;3.25;4
F1;20160918;2016-09-18;Marseille;Lyon;0;0;D;2.7;3.4;2.6
F1;20160918;2016-09-18;Montpellier;Nice;1;1;D;2.3;3.2;3.3
F1;20160918;2016-09-18;St Etienne;Bastia;1;0;H;1.65;3.6;6
F1;20160920;2016-09-20;Lille;Toulouse;1;2;A;2.05;3.1;4
F1;20160920;2016-09-20;Paris SG;Dijon;3;0;H;1.11;9;23
F1;20160921;2016-09-21;Angers;Caen;2;1;H;2.25;3.2;3.4
F1;20160921;2016-09-21;Bastia;Nancy;0;0;D;2.4;3;3.3
F1;20160921;2016-09-21;Guingamp;Lorient;1;0;H;2.05;3.2;4
F1;20160921;2016-09-21;Lyon;Montpellier;5;1;H;1.57;4;6
F1;20160921;2016-09-21;Metz;Bordeaux;0;3;A;3.2;3.1;2.4
F1;20160921;2016-09-21;Nantes;St Etienne;0;0;D;2.5;2.9;3.1
F1;20160921;2016-09-21;Nice;Monaco;4;0;H;3.1;3.2;2.4
F1;20160921;2016-09-21;Rennes;Marseille;3;2;H;2.3;3.3;3.2
F1;20160923;2016-09-23;Toulouse;Paris SG;2;0;H;7;4.2;1.5
F1;20160924;2016-09-24;Bastia;Guingamp;1;0;H;2.4;3;3.3
F1;20160924;2016-09-24;Bordeaux;Caen;0;0;D;1.85;3.6;4.33
F1;20160924;2016-09-24;Dijon;Rennes;3;0;H;2.8;3.2;2.6
F1;20160924;2016-09-24;Lorient;Lyon;1;0;H;4.2;3.5;1.91
F1;20160924;2016-09-24;Monaco;Angers;2;1;H;1.62;3.75;6
F1;20160924;2016-09-24;Montpellier;Metz;0;1;A;1.67;3.6;5.75
F1;20160925;2016-09-25;Marseille;Nantes;2;1;H;2;3.1;4.33
F1;20160925;2016-09-25;Nancy;Nice;0;1;A;2.5;3.1;3.1
F1;20160925;2016-09-25;St Etienne;Lille;3;1;H;2.3;3;3.5
F1;20160930;2016-09-30;Rennes;Guingamp;1;0;H;2.05;3.2;4
F1;20161001;2016-10-01;Caen;Toulouse;1;0;H;2.5;3.1;3
F1;20161001;2016-10-01;Dijon;Montpellier;3;3;D;2.6;3;3
F1;20161001;2016-10-01;Lille;Nancy;1;0;H;1.85;3.2;5
F1;20161001;2016-10-01;Metz;Monaco;0;7;A;4.5;3.6;1.8
F1;20161001;2016-10-01;Nantes;Bastia;1;0;H;1.95;3.2;4.5
F1;20161001;2016-10-01;Paris SG;Bordeaux;2;0;H;1.25;5.75;13
