DateListe,Saison,Equipe,TRJmoy,ROI,Nbrdematchs,MoyCoteResultat,ROI-10J,ROI-5J,ROI-3J,ROI-2J,ROIJJ-1,ROIJ,CoteJ,CoteInvJ
20231217,2324,Lorient,95.02968632240962,0.4875,16,3.9375,0.38000009999999995,1.999999999497959e-07,3.3333333324965984e-07,5.000000000165983e-07,5.000000000165983e-07,0.0,2.55,1.5157894736842106
20231210,2324,Lorient,95.02713466623368,0.52,15,4.03,0.38000009999999995,1.999999999497959e-07,3.3333333324965984e-07,5.000000000165983e-07,5.000000000165983e-07,0.0,4.75,1.2
20231203,2324,Lorient,94.97205004755529,0.5571428571428572,14,3.9785714285714286,0.38000009999999995,0.7600001999999999,3.3333333324965984e-07,5.000000000165983e-07,5.000000000165983e-07,0.0,4.0,1.2380952380952381
20231126,2324,Lorient,95.00486508617843,0.6,13,3.976923076923077,0.7800001,0.7600001999999999,3.3333333324965984e-07,5.000000000165983e-07,5.000000000165983e-07,0.0,1.95,1.8666666666666667
20231112,2324,Lorient,94.97433892341819,0.65,12,4.145833333333333,0.7800001,0.7600001999999999,1.266667,5.000000000165983e-07,5.000000000165983e-07,0.0,3.6,1.2833333333333332
20231104,2324,Lorient,95.00768714078136,0.7090909090909091,11,4.195454545454545,0.7800001,0.7600001999999999,1.266667,1.9000005,5.000000000165983e-07,0.0,5.0,1.1745454545454546
20231028,2324,Lorient,94.99726621999496,0.78,10,4.115,0.0,0.7600001999999999,1.266667,1.9000005,1.9000005,0.0,5.0,1.1781305114638447
20231022,2324,Lorient,94.95842407100021,0.8666666666666667,9,4.016666666666667,0.0,1.999999999497959e-07,3.3333333324965984e-07,5.000000000165983e-07,1.9000005,3.8,3.8,1.2442477876106195
20231008,2324,Lorient,95.11156041320857,0.5,8,4.04375,0.0,0.8000001999999999,3.3333333324965984e-07,5.000000000165983e-07,5.000000000165983e-07,0.0,4.75,1.1948892674616693
20231001,2324,Lorient,95.06002257154834,0.5714285714285714,7,3.942857142857143,0.0,0.8000001999999999,3.3333333324965984e-07,5.000000000165983e-07,5.000000000165983e-07,0.0,3.0,1.4166666666666667
20230923,2324,Lorient,94.8656238177498,0.6666666666666666,6,4.1000000000000005,0.0,0.8000001999999999,1.3333336666666666,5.000000000165983e-07,5.000000000165983e-07,0.0,3.0,1.4
20230917,2324,Lorient,94.74783949039067,0.8,5,4.32,0.0,0.0,1.3333336666666666,2.0000005,5.000000000165983e-07,0.0,4.0,1.2388392857142858
20230903,2324,Lorient,94.78759015975017,1.0,4,4.4,0.0,0.0,1.3333336666666666,2.0000005,2.0000005,0.0,2.7,1.4747899159663866
20230827,2324,Lorient,94.58997528546399,1.3333333333333333,3,4.966666666666667,0.0,0.0,0.0,5.000000000165983e-07,2.0000005,4.0,4.0,1.247912885662432
20230820,2324,Lorient,94.32651777672277,0.0,2,5.45,0.0,0.0,0.0,0.0,5.000000000165983e-07,0.0,3.4,1.3171171171171172
20230812,2324,Lorient,93.71797061838059,0.0,1,7.5,0.0,0.0,0.0,0.0,0.0,0.0,7.5,1.0710102489019033
20240519,2324,Paris SG,94.83791799816065,1.016764705882353,34,1.5438235294117646,0.9020001,1.0940002,0.8766669999999999,1.3150004999999998,2.1250005,1.62,1.62,2.3157894736842106
20240515,2324,Paris SG,94.82332144743101,0.9984848484848485,33,1.5415151515151515,0.6390001,0.5680002,0.466667,5.000000000165983e-07,1.3150004999999998,2.63,2.63,1.4754098360655736
